year,component,arm,med_cm,p05_cm,p95_cm
1990,ais,fixed,-0.32097222355480826,-0.3958341726408673,-0.25134501945792886
1991,ais,fixed,-0.30612646470072624,-0.3643116561770572,-0.24162647287537464
1992,ais,fixed,-0.2801385378140989,-0.33313376871664396,-0.2314824025086022
1993,ais,fixed,-0.26745727748316717,-0.30281444360633286,-0.22233626618712884
1994,ais,fixed,-0.2636155510065542,-0.30293965630604525,-0.21629051440266964
1995,ais,fixed,-0.25852722877607875,-0.3020621345168813,-0.2080272972946376
1996,ais,fixed,-0.249592552922839,-0.279408986998405,-0.19822215554489608
1997,ais,fixed,-0.22795472844418985,-0.24982266086478594,-0.18636989733636283
1998,ais,fixed,-0.2015213604488506,-0.21899151209879864,-0.17380871621203203
1999,ais,fixed,-0.17407414140208355,-0.18851498815252002,-0.15863549882841105
2000,ais,fixed,-0.14557503383025883,-0.15967842667520252,-0.13551224365197653
2001,ais,fixed,-0.11615106839876349,-0.13312922520810017,-0.10784051841746359
2002,ais,fixed,-0.0852035956614205,-0.10333568993255884,-0.07847627140489497
2003,ais,fixed,-0.053893033491708986,-0.07153879422445414,-0.0480566068745107
2004,ais,fixed,-0.022467184040578514,-0.03903701612648448,-0.016955308047207407
2005,ais,fixed,0.009329647465675162,-0.006151057773746665,0.015182889437157777
2006,ais,fixed,0.04083525471326943,0.02589614610113552,0.04791261285078737
2007,ais,fixed,0.07258476548757531,0.05816819996681402,0.0812077023180848
2008,ais,fixed,0.10439201762903105,0.0905173517823301,0.11463363141057221
2009,ais,fixed,0.13621797235710642,0.12223489335038537,0.14809133510709743
2010,ais,fixed,0.16824962851009106,0.15422667701289242,0.18153379887967933
2011,ais,fixed,0.20086293842193748,0.1861866145864061,0.21517977093199953
2012,ais,fixed,0.23495463327489763,0.2191104550361439,0.2503434111936537
2013,ais,fixed,0.26832548058354055,0.2511951401757085,0.2846418387379495
2014,ais,fixed,0.30228054116463077,0.2834262027891468,0.3200325669276058
2015,ais,fixed,0.336818818624821,0.3161347532950714,0.3558326056032941
2016,ais,fixed,0.37184772527114607,0.34950727230703144,0.39251197576513197
2017,ais,fixed,0.40705522513229986,0.3823673809366255,0.43008638903231283
2018,ais,fixed,0.4436929521983327,0.41596781732509924,0.4690373689898729
2019,ais,fixed,0.4800727774060003,0.448259754004331,0.5077411631462725
2020,ais,fixed,0.5173385758446227,0.4819474220666907,0.5483582993502829
2021,ais,fixed,0.55532405710557,0.5157014644965061,0.5900904780846051
2022,ais,fixed,0.5934256212281507,0.5500494784404972,0.6320823512073726
2023,ais,fixed,0.632600911665251,0.5839411400068543,0.6759100308603516
2024,ais,fixed,0.6717214604694539,0.6178076600510226,0.7197042667404153
2025,ais,fixed,0.7118055681197414,0.6526960516328951,0.7656189719639629
2026,ais,fixed,0.7526001392619147,0.6862796335408596,0.8124916493381165
2027,ais,fixed,0.7945272947891764,0.7203026576553192,0.8601697382263751
2028,ais,fixed,0.837157184974186,0.7543024530747642,0.908816374907076
2029,ais,fixed,0.8797715844466815,0.7884395302061754,0.958850318168621
2030,ais,fixed,0.9226879712021602,0.8228977684192167,1.0099515477554284
2031,ais,fixed,0.9675674822885346,0.8577886647899049,1.0620942814419
2032,ais,fixed,1.0119058141217077,0.8935292084203738,1.115164215415945
2033,ais,fixed,1.0565410532069408,0.928428178866247,1.1685045540303125
2034,ais,fixed,1.1019296309916682,0.9636682656458483,1.2244562112946231
2035,ais,fixed,1.1491817732151932,1.0000675210429057,1.2807283774000133
2036,ais,fixed,1.1968442002952115,1.0367816217490826,1.3386444905173613
2037,ais,fixed,1.2449769949741485,1.0734261063060786,1.3969638548141199
2038,ais,fixed,1.2946405567456565,1.1106073780636037,1.4574494516249392
