year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.6663032249651273,-0.8935106608068273,-0.47346467776828005
1991,glaciers,fixed,-0.6370501069386558,-0.8489612692546618,-0.45471000340967366
1992,glaciers,fixed,-0.602868735317756,-0.8014307116258246,-0.4305631039506545
1993,glaciers,fixed,-0.5857504108715501,-0.7748643218140299,-0.4187794742498588
1994,glaciers,fixed,-0.5485075630263041,-0.7251191186855072,-0.39222173631381224
1995,glaciers,fixed,-0.5161184319248777,-0.6793880478951293,-0.3693433169592634
1996,glaciers,fixed,-0.4722576976513566,-0.6218539572377627,-0.336731880819197
1997,glaciers,fixed,-0.43440363945829485,-0.5709872072528429,-0.3112049011903739
1998,glaciers,fixed,-0.3895835677327757,-0.5116632658560535,-0.27998467176716074
1999,glaciers,fixed,-0.3157287465349665,-0.41468542256579066,-0.22671699187670763
2000,glaciers,fixed,-0.27504943738271637,-0.3619900669230506,-0.19773182608692358
2001,glaciers,fixed,-0.22833118303044975,-0.3001763590261149,-0.164308425438073
2002,glaciers,fixed,-0.1708002877792516,-0.22476919630227576,-0.12408883147229904
2003,glaciers,fixed,-0.10978395427046772,-0.14412650543412786,-0.07979588309134794
2004,glaciers,fixed,-0.04937321266096584,-0.06609841694440469,-0.035411335257465246
2005,glaciers,fixed,0.00028835833475993056,-0.010465469875598021,0.00995228114450324
2006,glaciers,fixed,0.07049868188633024,0.04730262151045674,0.09662303327872225
2007,glaciers,fixed,0.15024733200883955,0.10602210046047117,0.19813498489726897
2008,glaciers,fixed,0.21121740304421044,0.1504878041838873,0.27760379401005275
2009,glaciers,fixed,0.2544047884290368,0.18169024105228954,0.33455048856778147
2010,glaciers,fixed,0.3125217737860715,0.22330299454275912,0.4107741736809663
2011,glaciers,fixed,0.40642729616264406,0.2921593014472437,0.5333574328193293
2012,glaciers,fixed,0.4672273114588217,0.33703380613724065,0.6135147134045351
2013,glaciers,fixed,0.5171195379542153,0.3752563177365244,0.6783925926943968
2014,glaciers,fixed,0.5712665732271844,0.4134450078316112,0.7512496114055064
2015,glaciers,fixed,0.6400300592718979,0.4635455064768339,0.8418138242631682
2016,glaciers,fixed,0.7124937617223428,0.5178917432598251,0.9338709892590102
2017,glaciers,fixed,0.8365301435948993,0.6091950500995631,1.0958186177355174
2018,glaciers,fixed,0.9140843511370571,0.6651639233683766,1.1965066827882407
2019,glaciers,fixed,0.9781604732522016,0.710549028825108,1.281863120615112
2020,glaciers,fixed,1.0702991056101179,0.7776480421548378,1.4026699210602835
2021,glaciers,fixed,1.1382099813342053,0.8277626943655043,1.4904695261438257
2022,glaciers,fixed,1.2045975583518496,0.8774373454495303,1.5762381633483538
2023,glaciers,fixed,1.2772601034514048,0.9296009010293038,1.6683411785370916
2024,glaciers,fixed,1.3669966042368566,0.9954885921504647,1.7876915547239296
2025,glaciers,fixed,1.458809151002336,1.0616505673374244,1.9055012342002442
2026,glaciers,fixed,1.5488187131703461,1.1292251753212421,2.0234539461987406
2027,glaciers,fixed,1.6429871547221402,1.1991933243625243,2.144516286383509
2028,glaciers,fixed,1.7390646133525447,1.268541478348097,2.2652879778574357
2029,glaciers,fixed,1.8343690977755491,1.339227579277314,2.389452088357908
2030,glaciers,fixed,1.9309391124464041,1.4096397608404958,2.5122559147913326
2031,glaciers,fixed,2.0288541439096255,1.4825703370946464,2.6374460507696456
2032,glaciers,fixed,2.124980041904128,1.553056598565394,2.763134021772107
2033,glaciers,fixed,2.225708826863774,1.626123253779421,2.8918938338521234
2034,glaciers,fixed,2.3257075661260846,1.7000544772023478,3.0219806548660504
2035,glaciers,fixed,2.4287269086029806,1.7779453687387332,3.150216979387305
2036,glaciers,fixed,2.5339397861682533,1.8608994957964677,3.282883335668474
2037,glaciers,fixed,2.644457800105579,1.947344570712658,3.418975735742271
2038,glaciers,fixed,2.7537723129623437,2.028763773464055,3.55797125285164
2039,glaciers,fixed,2.8650531532582386,2.1120393914218663,3.7019687853455645
2040,glaciers,fixed,2.97800350550582,2.200632923641397,3.845065332171002
2041,glaciers,fixed,3.0963050093717635,2.291970820830263,3.9893568418064516
2042,glaciers,fixed,3.2105428105850833,2.3852856130974187,4.131834541284568
2043,glaciers,fixed,3.3278059169551857,2.4767982975023917,4.279776419589917
2044,glaciers,fixed,3.44915177853297,2.5731407480614488,4.429465613157838
2045,glaciers,fixed,3.5716139217716587,2.6689569318578688,4.581863763947221
2046,glaciers,fixed,3.6983379421741165,2.7635078435830875,4.744439699903756
2047,glaciers,fixed,3.824803511794113,2.860757826569603,4.908240329608539
2048,glaciers,fixed,3.952069838831594,2.961351664722823,5.069400164366787
2049,glaciers,fixed,4.082604031779071,3.060347945844031,5.230991004840598
2050,glaciers,fixed,4.215852292054678,3.1667706228126806,5.398996627925133
2051,glaciers,fixed,4.351498877030535,3.268860919854392,5.562623770561877
2052,glaciers,fixed,4.486125487865545,3.3709599766950595,5.72463033018613
2053,glaciers,fixed,4.620210910547629,3.4759184102177634,5.896415573862625
2054,glaciers,fixed,4.755440320233241,3.5812683718608858,6.061126772195541
2055,glaciers,fixed,4.888380578609439,3.686588932520897,6.22303605876789
2056,glaciers,fixed,5.019034444514583,3.7905104895378354,6.375100783236754
2057,glaciers,fixed,5.149904475284357,3.8885418992930543,6.5317915377048985
2058,glaciers,fixed,5.281715757979088,3.9853099883199365,6.6993796800428775
2059,glaciers,fixed,5.413107840169743,4.0818278059646,6.8549852757651335
2060,glaciers,fixed,5.541264500880384,4.179127855405193,7.008079853764624
2061,glaciers,fixed,5.666723659946186,4.284500899092449,7.155106911697546
2062,glaciers,fixed,5.790338960730841,4.383481391500993,7.299006949415071
2063,glaciers,fixed,5.910370043473266,4.482606632079954,7.444557614008227
2064,glaciers,fixed,6.02785265509024,4.580885677707981,7.594079998580738
2065,glaciers,fixed,6.146175013434663,4.676700005140477,7.732751634549864
2066,glaciers,fixed,6.258533802613011,4.7588314970256915,7.870654722370101
2067,glaciers,fixed,6.3706616854765965,4.839876156898151,8.006588900799818
2068,glaciers,fixed,6.481721660617781,4.928096102383631,8.139929372710007
2069,glaciers,fixed,6.591921440611697,5.014641771432369,8.269950377163036
2070,glaciers,fixed,6.69379791407752,5.099434758946162,8.39645822828576
2071,glaciers,fixed,6.794869379553762,5.183371743788924,8.514128943770697
2072,glaciers,fixed,6.8978973491638,5.263166504993498,8.636591292014273
2073,glaciers,fixed,6.995852168805987,5.341927714163498,8.751434679668067
2074,glaciers,fixed,7.092880355603351,5.4145871386577324,8.872679178023713
2075,glaciers,fixed,7.1897352191283765,5.488914196587776,8.984020690045728
2076,glaciers,fixed,7.283659217409294,5.565038622536651,9.08785498190973
2077,glaciers,fixed,7.371556593428941,5.637290282217881,9.19172226315724
2078,glaciers,fixed,7.46157445358191,5.710400043909346,9.294523769719644
2079,glaciers,fixed,7.547553382224264,5.777564444271739,9.395101009963664
2080,glaciers,fixed,7.628082686346307,5.840343770193073,9.495632213536332
2081,glaciers,fixed,7.709093932382045,5.911800838505766,9.597174103485305
2082,glaciers,fixed,7.788370957470347,5.98447502584816,9.695602908243194
2083,glaciers,fixed,7.867868966102395,6.051538856020291,9.792070608619092
2084,glaciers,fixed,7.950063933621354,6.116207364471089,9.88603687850014
2085,glaciers,fixed,8.03019573386121,6.177311385261014,9.977277215065746
2086,glaciers,fixed,8.107711860247605,6.23737802436523,10.065836340326772
2087,glaciers,fixed,8.179061689566355,6.299775135794258,10.154857438222427
2088,glaciers,fixed,8.246116940372023,6.36028010032706,10.241593841703926
2089,glaciers,fixed,8.313181278890102,6.414630317898405,10.324262231577343
2090,glaciers,fixed,8.380074804743439,6.469833859972332,10.403135823208938
2091,glaciers,fixed,8.450261152649146,6.520913748299953,10.482359779039822
2092,glaciers,fixed,8.516668355777295,6.574230592194578,10.563341160908237
2093,glaciers,fixed,8.585373482852635,6.623899715200918,10.639989349628657
2094,glaciers,fixed,8.64878509268819,6.672551299509506,10.71257654147973
2095,glaciers,fixed,8.70900451611382,6.720319119225849,10.78816092152907
2096,glaciers,fixed,8.765900199774432,6.77485991257609,10.862512182783634
2097,glaciers,fixed,8.81767194870099,6.819909857445772,10.932995068606838
2098,glaciers,fixed,8.87550151320367,6.869532971391159,11.00074725490089
2099,glaciers,fixed,8.928604835060154,6.913968307236562,11.066576195026073
2100,glaciers,fixed,8.979891597198439,6.95644974169922,11.126896908673189
2101,glaciers,fixed,9.030478147524672,6.997893940333274,11.189585455462717
2102,glaciers,fixed,9.081531381345895,7.038378300901045,11.254991766256111
2103,glaciers,fixed,9.132414495121466,7.0783538410282585,11.315601439805954
2104,glaciers,fixed,9.181098602399096,7.116322873690705,11.375244863537478
2105,glaciers,fixed,9.23232788895147,7.151476778899412,11.433590109591403
2106,glaciers,fixed,9.279635785182151,7.191781331956554,11.491020078354708
2107,glaciers,fixed,9.323258458487256,7.230077482921887,11.546856399479033
2108,glaciers,fixed,9.368346324753176,7.268196793332394,11.601257647087778
2109,glaciers,fixed,9.41222696285622,7.304101156930732,11.654283889761492
2110,glaciers,fixed,9.457391911380608,7.338710948301751,11.705314012790403
2111,glaciers,fixed,9.503647985930112,7.375078308119127,11.75512243759821
2112,glaciers,fixed,9.544705525946627,7.409908618641436,11.7963321126745
2113,glaciers,fixed,9.583230766041872,7.443032835837109,11.833667903903724
2114,glaciers,fixed,9.620032498430453,7.474876844173142,11.880048484887944
2115,glaciers,fixed,9.661131138333968,7.50687365124226,11.938160506745938
2116,glaciers,fixed,9.701319774485103,7.5384210129500495,11.97596541213348
2117,glaciers,fixed,9.742858552587004,7.56939237012327,12.020437833500079
2118,glaciers,fixed,9.775731911952185,7.599273996883144,12.06116696303339
2119,glaciers,fixed,9.811877297700917,7.626546044154116,12.099503306943017
2120,glaciers,fixed,9.847632557385351,7.652924912295946,12.134410991746194
2121,glaciers,fixed,9.880204315053287,7.678587963616591,12.169645349529626
2122,glaciers,fixed,9.913919889793405,7.703711761799482,12.204602120908994
2123,glaciers,fixed,9.944528805459145,7.728355760380677,12.24256605632402
2124,glaciers,fixed,9.975785391599134,7.756194982048565,12.28744007356402
2125,glaciers,fixed,10.008594696963264,7.778898369874773,12.328069492628812
2126,glaciers,fixed,10.037977581697799,7.801482828855838,12.361665371738322
2127,glaciers,fixed,10.067609084869389,7.823432047892096,12.394829288213625
2128,glaciers,fixed,10.098725389211314,7.845360494170883,12.427039910870779
2129,glaciers,fixed,10.131029288322045,7.866546521844516,12.461671610433868
2130,glaciers,fixed,10.159176935046737,7.8872572447662535,12.495943402962835
2131,glaciers,fixed,10.186218517579034,7.909961400524162,12.527415567630984
2132,glaciers,fixed,10.211986254244312,7.931970040600767,12.558881885361844
2133,glaciers,fixed,10.240330704544434,7.953739989709401,12.590377955313215
2134,glaciers,fixed,10.264725183569617,7.973945132642235,12.625335630405859
2135,glaciers,fixed,10.292744056056346,7.995941440823737,12.656159424504754
2136,glaciers,fixed,10.31859195075536,8.01644408460155,12.686239911398088
2137,glaciers,fixed,10.339348875403553,8.036815125366903,12.716373445321924
2138,glaciers,fixed,10.363559477813022,8.056829436281355,12.745979604902544
2139,glaciers,fixed,10.387769714803644,8.076654292100788,12.775213207962409
2140,glaciers,fixed,10.413511673908022,8.09596194248351,12.803499043937611
2141,glaciers,fixed,10.4383749061376,8.115710173138854,12.831006125718186
2142,glaciers,fixed,10.460876617781942,8.13437597355348,12.857380242482966
2143,glaciers,fixed,10.48218257770831,8.154013999464748,12.884644075661924
2144,glaciers,fixed,10.50165518011704,8.171229309113937,12.913434508144658
2145,glaciers,fixed,10.520858270809521,8.184080501094583,12.933889264862044
2146,glaciers,fixed,10.540995046603822,8.200026090735193,12.95621697548906
2147,glaciers,fixed,10.562426623945004,8.216101442410354,12.979900003191094
2148,glaciers,fixed,10.581397471807673,8.231795943022545,13.002428696239702
2149,glaciers,fixed,10.597416871150921,8.247459594131543,13.026349053650968
2150,glaciers,fixed,10.616020325040354,8.262966520642886,13.04631222677347
2151,glaciers,fixed,10.634589194373708,8.278232094450884,13.06542104154116
2152,glaciers,fixed,10.654875146569388,8.292407225265212,13.090656041375652
2153,glaciers,fixed,10.670818425358327,8.307178232412431,13.114000618543876
2154,glaciers,fixed,10.688602177636373,8.321224351646231,13.13517494380128
2155,glaciers,fixed,10.705278536792498,8.33542256593164,13.156284126048998
2156,glaciers,fixed,10.723441862611363,8.349295296278106,13.176918882001607
2157,glaciers,fixed,10.73968453029252,8.362728431480186,13.197158991462038
2158,glaciers,fixed,10.755475129873469,8.373731674021013,13.217194112416076
2159,glaciers,fixed,10.772927938765118,8.384936193863853,13.237308391016146
2160,glaciers,fixed,10.791611654845882,8.39951668891226,13.257330035223026
2161,glaciers,fixed,10.808875926745909,8.412347511308718,13.279920525004965
2162,glaciers,fixed,10.82391785644057,8.420917265390713,13.302620857552137
2163,glaciers,fixed,10.842435884685475,8.433073300016057,13.325102335384182
2164,glaciers,fixed,10.85750202995602,8.446637678726859,13.347464951938859
2165,glaciers,fixed,10.875968731112696,8.459513230748327,13.368866190182882
2166,glaciers,fixed,10.894071576547997,8.472262813817853,13.391284499985087
2167,glaciers,fixed,10.908668117002815,8.48495986210352,13.412552824446408
2168,glaciers,fixed,10.923732575505838,8.497698254135821,13.436840093711007
2169,glaciers,fixed,10.937982156958098,8.50836353096668,13.459291924174774
2170,glaciers,fixed,10.952892351102275,8.518806365721513,13.481965614068718
2171,glaciers,fixed,10.9677215351246,8.533176358283574,13.505042971663823
