year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.6636154885805321,-0.879565059039273,-0.48292392882930657
1991,glaciers,fixed,-0.6330420428500443,-0.8372639754337727,-0.46169111741503993
1992,glaciers,fixed,-0.5994535170936997,-0.7900499319290957,-0.43877837363653616
1993,glaciers,fixed,-0.5827921511517282,-0.7650944604863453,-0.4279204979959139
1994,glaciers,fixed,-0.5462730398466871,-0.7165922550096041,-0.40119737848357734
1995,glaciers,fixed,-0.5135413799973165,-0.6737676337052335,-0.37725460628630425
1996,glaciers,fixed,-0.4698431976685944,-0.6155150814364799,-0.343822372087669
1997,glaciers,fixed,-0.43278380233924296,-0.5660886912141567,-0.31798894504572817
1998,glaciers,fixed,-0.38806299527546617,-0.5089403664964081,-0.285447406163094
1999,glaciers,fixed,-0.31387948868363,-0.41124402240892777,-0.23115211639527794
2000,glaciers,fixed,-0.2740221541873509,-0.3587198003861193,-0.20225546628252505
2001,glaciers,fixed,-0.22769162504251095,-0.29888435667552793,-0.16766525322552955
2002,glaciers,fixed,-0.17055150475590475,-0.2234334883345172,-0.12555360686189979
2003,glaciers,fixed,-0.11011540520421237,-0.14319359646391927,-0.08155599941257706
2004,glaciers,fixed,-0.04954046074800722,-0.06493553527081533,-0.03651797587862264
2005,glaciers,fixed,0.00017653804425776798,-0.010218289324847186,0.00943444768516275
2006,glaciers,fixed,0.07036946389563026,0.04796116084178039,0.09527235554127648
2007,glaciers,fixed,0.14942485714359433,0.10876606861310854,0.19815537994663185
2008,glaciers,fixed,0.21053595813550485,0.1539691913660859,0.27710501951700467
2009,glaciers,fixed,0.25318933529920784,0.18578972519416567,0.33167485835700133
2010,glaciers,fixed,0.31114303002017385,0.22847235605132507,0.40767382792639284
2011,glaciers,fixed,0.4045852666082601,0.29852654499465386,0.5307900442815625
2012,glaciers,fixed,0.4645416096885133,0.3443404701943419,0.6090816629766157
2013,glaciers,fixed,0.5149013723295943,0.3818960844893716,0.6740354592794704
2014,glaciers,fixed,0.5691629820499546,0.4223896023099089,0.7452057890049655
2015,glaciers,fixed,0.6382214843741869,0.4737042185580567,0.8347820207650025
2016,glaciers,fixed,0.7097567713738968,0.5272017681343273,0.9269341453606469
2017,glaciers,fixed,0.8355490590482573,0.6180997658517345,1.0893531580028364
2018,glaciers,fixed,0.9136628529974686,0.6751972205106621,1.1912345424205686
2019,glaciers,fixed,0.9777516759283245,0.7232129064600781,1.2739713263066983
2020,glaciers,fixed,1.0710925061882555,0.7898508875078627,1.3942979692202075
2021,glaciers,fixed,1.1393509668082733,0.8401633492285963,1.480660221806391
2022,glaciers,fixed,1.2054050005658943,0.8891274285915699,1.5649139016250329
2023,glaciers,fixed,1.2773293869576525,0.9418365258738313,1.657078363892811
2024,glaciers,fixed,1.3688044900945098,1.0099145395605986,1.774674090582633
2025,glaciers,fixed,1.46108839527243,1.0796458517605845,1.8926369868545614
2026,glaciers,fixed,1.556604920899496,1.1522793147189132,2.013550120371062
2027,glaciers,fixed,1.6529488362861164,1.2262240005478446,2.137740396923795
2028,glaciers,fixed,1.751126604038046,1.3013187786755092,2.2635506284442015
2029,glaciers,fixed,1.8511195149124966,1.3749931638133708,2.390030144790808
2030,glaciers,fixed,1.953231365770043,1.4519037002537727,2.519411506512284
2031,glaciers,fixed,2.057790955181054,1.5335159350131626,2.6529945998760427
2032,glaciers,fixed,2.164593187756152,1.6146750038246174,2.7877415560531404
2033,glaciers,fixed,2.2731328464871514,1.6951452757843306,2.923813809229804
2034,glaciers,fixed,2.382530255494498,1.7758797675275813,3.0626533221923813
2035,glaciers,fixed,2.4963870155713823,1.8566113186939812,3.2087372649315338
2036,glaciers,fixed,2.612789146601852,1.949278796920155,3.352319774613291
2037,glaciers,fixed,2.730920597708257,2.0368681507660518,3.502911681876809
2038,glaciers,fixed,2.855970106883781,2.130775593584308,3.6520851413781648
2039,glaciers,fixed,2.9820220423439685,2.226337177243336,3.8079927309916997
2040,glaciers,fixed,3.1092009507381944,2.3228672051686683,3.968883839535399
2041,glaciers,fixed,3.239121136230086,2.4205228045280873,4.128292867222896
2042,glaciers,fixed,3.3691154525509512,2.521119324137163,4.291621732977967
