year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.6686446152992924,-0.8880436247439387,-0.4825785022947732
1991,glaciers,fixed,-0.6384778731379737,-0.8444339133530698,-0.4606865450392498
1992,glaciers,fixed,-0.6041203413045699,-0.7999201954986122,-0.43678513323315316
1993,glaciers,fixed,-0.5874652315949611,-0.7751256713669097,-0.42572526645570985
1994,glaciers,fixed,-0.5509159969572908,-0.725630734990002,-0.3991620062953058
1995,glaciers,fixed,-0.517370754971958,-0.6813227096822848,-0.3749383212056597
1996,glaciers,fixed,-0.4731330766408699,-0.622924267496303,-0.3423830670795265
1997,glaciers,fixed,-0.4346030567133108,-0.5727866724921885,-0.31480695361380884
1998,glaciers,fixed,-0.39005049585734053,-0.5129259067919747,-0.2823642589562119
1999,glaciers,fixed,-0.3157927359586792,-0.415143088137112,-0.22930670785845925
2000,glaciers,fixed,-0.27577480219298867,-0.36238010104935003,-0.20032036046322882
2001,glaciers,fixed,-0.22876192254209937,-0.3001673886964752,-0.16708195645374727
2002,glaciers,fixed,-0.17138683402461652,-0.22366491012614192,-0.12523815142850753
2003,glaciers,fixed,-0.11014595403714678,-0.14419918295658332,-0.08074472812795724
2004,glaciers,fixed,-0.049509538992864144,-0.06588156071075485,-0.03652993262122162
2005,glaciers,fixed,2.3821609397955967e-5,-0.010606731538646951,0.009211761023862983
2006,glaciers,fixed,0.07015965478144559,0.04769525653252449,0.09560222667427402
2007,glaciers,fixed,0.15064269367477623,0.10715482781964676,0.19882235660410214
2008,glaciers,fixed,0.21185556830887764,0.15270979375996188,0.27894681922112785
2009,glaciers,fixed,0.25476709721170687,0.18409666249712914,0.33507808179133475
2010,glaciers,fixed,0.31306368188733513,0.22679340155659686,0.4116542355770176
2011,glaciers,fixed,0.40703070191091073,0.29529903511125777,0.5335325714785347
2012,glaciers,fixed,0.46751230480402706,0.3415323151441273,0.611388342324095
2013,glaciers,fixed,0.5181029601910687,0.38073001809607293,0.6772577118122542
2014,glaciers,fixed,0.5723790872819103,0.4209228404122181,0.7496757554099903
2015,glaciers,fixed,0.6419156233470789,0.4703197963078112,0.8392746211293385
2016,glaciers,fixed,0.7137372300254121,0.5233321940989509,0.9309100485716924
2017,glaciers,fixed,0.8376104839715994,0.6166744755589665,1.0909808084485209
2018,glaciers,fixed,0.9155131631046297,0.6734861335292012,1.1946807040044674
2019,glaciers,fixed,0.9807675364416684,0.7191663411296209,1.2779329790245872
2020,glaciers,fixed,1.0726587533703853,0.7858203050082653,1.398360288839065
2021,glaciers,fixed,1.140241939476589,0.8356946222552619,1.4864435985957545
2022,glaciers,fixed,1.2070451215788314,0.8849109877757391,1.574634099198644
2023,glaciers,fixed,1.2792066664929898,0.9372029445700356,1.6693255801070803
2024,glaciers,fixed,1.370649468715406,1.003948311650429,1.7850967025520998
2025,glaciers,fixed,1.4622833614133048,1.0727309539569696,1.901329868926553
2026,glaciers,fixed,1.5555420995254168,1.1412934587034824,2.0209760996074446
2027,glaciers,fixed,1.6484956895404705,1.2107033112575147,2.1486127553114946
2028,glaciers,fixed,1.7429955990130175,1.2827169227491015,2.2763161978578514
2029,glaciers,fixed,1.8402286769676883,1.3549534119716762,2.397653161358449
2030,glaciers,fixed,1.9369554324988458,1.4278129646393631,2.524481602675067
2031,glaciers,fixed,2.0366252535645986,1.5040879521698174,2.651393386153696
2032,glaciers,fixed,2.136050448613416,1.5793026589333252,2.7777756122751507
2033,glaciers,fixed,2.2363026024788626,1.658967637400831,2.903785243549181
2034,glaciers,fixed,2.337906109561909,1.7377783179452198,3.0340346960945634
2035,glaciers,fixed,2.442342610479714,1.8179573677027803,3.166234232155666
2036,glaciers,fixed,2.5510293388393936,1.9001868013480476,3.300495481723796
2037,glaciers,fixed,2.6580173657172295,1.987240591602396,3.4397397840885917
2038,glaciers,fixed,2.770425368302795,2.069688437262478,3.579069739561449
2039,glaciers,fixed,2.8842030905249656,2.1581107592262696,3.720561075557014
2040,glaciers,fixed,3.001220331953455,2.244486131508372,3.8689875317464306
2041,glaciers,fixed,3.1221303256394632,2.3354689188568196,4.014385530650077
2042,glaciers,fixed,3.2419843787526927,2.4286873490088676,4.163384722307411
2043,glaciers,fixed,3.361025951532132,2.523976719082744,4.314753536394931
2044,glaciers,fixed,3.482543264008596,2.6159391886940138,4.474417885470445
2045,glaciers,fixed,3.607106436353903,2.7126835166343843,4.631317434980883
2046,glaciers,fixed,3.736038173875031,2.810090338758692,4.7874268107178795
2047,glaciers,fixed,3.8646727764017,2.912471889580796,4.9513820518154805
2048,glaciers,fixed,3.9979370082589067,3.022045998811372,5.116748482266936
2049,glaciers,fixed,4.134879212841355,3.1276279039356103,5.2861409258474845
2050,glaciers,fixed,4.274814279565913,3.237195837550884,5.464003049580504
2051,glaciers,fixed,4.418138513096717,3.350158573393309,5.646723492267171
2052,glaciers,fixed,4.557942105860539,3.4645543634667653,5.838132908861861
2053,glaciers,fixed,4.7025500578437525,3.581843086658295,6.022632990818094
2054,glaciers,fixed,4.849163802814207,3.6986073631174556,6.198602658647803
2055,glaciers,fixed,4.9966415799765285,3.8181626577889203,6.382700426999578
2056,glaciers,fixed,5.144019776764223,3.9354427607164704,6.567046578602559
2057,glaciers,fixed,5.296273853959454,4.052575479908574,6.758523695747705
2058,glaciers,fixed,5.449785044309711,4.167102244311234,6.946019735488615
2059,glaciers,fixed,5.606963737047127,4.3017097875739285,7.134228812870233
2060,glaciers,fixed,5.767488123473205,4.424405279261487,7.32663047350086
2061,glaciers,fixed,5.932150703471455,4.54831725383881,7.527521510037046
2062,glaciers,fixed,6.0948789963891095,4.676624063937663,7.738609884160458
2063,glaciers,fixed,6.267656868998839,4.803177048662719,7.94048859090048
2064,glaciers,fixed,6.429991554814324,4.937675459788422,8.151134830508209
2065,glaciers,fixed,6.598897604966917,5.0711859542401925,8.3676101211236
2066,glaciers,fixed,6.76973306387989,5.212798397060934,8.581292996481054
2067,glaciers,fixed,6.939295244946255,5.342736127728607,8.789366993963542
2068,glaciers,fixed,7.109385007040187,5.476295810801696,9.000620440840354
2069,glaciers,fixed,7.277186205117199,5.614808676774855,9.209822259410403
2070,glaciers,fixed,7.449781978131076,5.759848734881672,9.41851533283123
2071,glaciers,fixed,7.62775722071893,5.900828040629828,9.632384164397102
2072,glaciers,fixed,7.812650617442946,6.041660851315474,9.854052013410525
2073,glaciers,fixed,7.9963637116719655,6.17974208701305,10.073955773038637
2074,glaciers,fixed,8.177058748482182,6.331475397925035,10.292987768065302
2075,glaciers,fixed,8.359078935799172,6.477382658484646,10.517032552609457
2076,glaciers,fixed,8.544952007039061,6.623449372116407,10.741259985021815
2077,glaciers,fixed,8.737316723058159,6.774255876079751,10.96199482762481
2078,glaciers,fixed,8.919214535215923,6.915171852137958,11.191245372752022
2079,glaciers,fixed,9.1040536241124,7.0615727078643244,11.414880782725222
2080,glaciers,fixed,9.290271748319244,7.220770669419485,11.62672245673391
2081,glaciers,fixed,9.478254330498753,7.388286827928854,11.850498706049828
2082,glaciers,fixed,9.666705590459706,7.5508484220112635,12.071927925814224
2083,glaciers,fixed,9.862831814444188,7.716554602297255,12.305809739135432
2084,glaciers,fixed,10.055357505568583,7.875276605909716,12.54186474924717
2085,glaciers,fixed,10.247640431161585,8.02876267708519,12.775996931995529
2086,glaciers,fixed,10.45352824387398,8.185731473900212,13.005192729554595
2087,glaciers,fixed,10.652456509537815,8.342315489799644,13.253023504433076
2088,glaciers,fixed,10.854376080627286,8.502551030476262,13.489764519684524
2089,glaciers,fixed,11.05612532287281,8.6669314680302,13.725429732800817
2090,glaciers,fixed,11.245816637933732,8.821167193781587,13.955947960257008
2091,glaciers,fixed,11.445699698163665,8.980925030829798,14.195252806545827
2092,glaciers,fixed,11.635218491666254,9.141469788491532,14.429807260139881
2093,glaciers,fixed,11.837048954541334,9.304667853231345,14.660315880326545
2094,glaciers,fixed,12.03680130982447,9.476767720875959,14.887245380248897
2095,glaciers,fixed,12.233710467118755,9.6388507921682,15.118004408033492
2096,glaciers,fixed,12.4257930007427,9.797007729643926,15.342925263808093
2097,glaciers,fixed,12.623959795514882,9.959091125684317,15.575768990790111
2098,glaciers,fixed,12.819801975537594,10.127384019906044,15.816942243948027
2099,glaciers,fixed,13.012433119970694,10.274238040529736,16.056573694574265
2100,glaciers,fixed,13.203687886949329,10.432697350311482,16.27809299385227
2101,glaciers,fixed,13.394710013780987,10.59887252726934,16.502641318954552
2102,glaciers,fixed,13.59744004472226,10.753171055158354,16.72992697848423
2103,glaciers,fixed,13.79108942767046,10.922049145421067,16.963744283271136
2104,glaciers,fixed,13.983668042829763,11.086910458169717,17.18494934183354
2105,glaciers,fixed,14.183413211622595,11.233205072840244,17.420707718592045
2106,glaciers,fixed,14.382478080265106,11.386564180408806,17.634921266280315
2107,glaciers,fixed,14.572722304590862,11.534552600624544,17.863765935848086
2108,glaciers,fixed,14.766877303571103,11.709224038992547,18.08358214185588
2109,glaciers,fixed,14.952536117734644,11.860100854945149,18.308481875882375
2110,glaciers,fixed,15.138015466692767,12.020316812999923,18.526379599981173
2111,glaciers,fixed,15.321361668311102,12.180471746350346,18.725936488939972
2112,glaciers,fixed,15.492839831435415,12.334823696369824,18.91978032899272
2113,glaciers,fixed,15.660020970577119,12.48218129491411,19.0977366121612
2114,glaciers,fixed,15.835575075944217,12.634868733797369,19.29484472985964
2115,glaciers,fixed,16.00356909089239,12.770901025093103,19.496859894018815
2116,glaciers,fixed,16.175987343299713,12.914434638634546,19.693605361200696
2117,glaciers,fixed,16.338890979990836,13.056264603478093,19.888659351996527
2118,glaciers,fixed,16.517881362991226,13.1935507431809,20.082327135058698
2119,glaciers,fixed,16.683550303125518,13.33632746762273,20.274446581355683
2120,glaciers,fixed,16.84699309695531,13.473455881617616,20.47261907292268
2121,glaciers,fixed,17.01095890494919,13.609808510024035,20.662541362772295
2122,glaciers,fixed,17.171551152537123,13.742594755967648,20.839915665619152
2123,glaciers,fixed,17.337579478307042,13.878996571330001,21.010779383800596
2124,glaciers,fixed,17.497101446297926,14.021080692702046,21.178701840096824
2125,glaciers,fixed,17.65883021581225,14.138749565173063,21.361761880166583
2126,glaciers,fixed,17.814997498856393,14.24991769866805,21.531774642109184
2127,glaciers,fixed,17.971975957171118,14.36400249403445,21.702091284097612
2128,glaciers,fixed,18.112556761371764,14.498784614528356,21.88050760673508
2129,glaciers,fixed,18.269049475216818,14.629538637790844,22.04798605207314
2130,glaciers,fixed,18.41396215784951,14.75647784618743,22.212535112511482
2131,glaciers,fixed,18.553077021759695,14.86874563649688,22.38589402821267
2132,glaciers,fixed,18.695805516480483,14.98042874161458,22.546844559117368
2133,glaciers,fixed,18.83806031975104,15.09309168777845,22.707217925744626
2134,glaciers,fixed,18.98037760972628,15.197256488856315,22.870791284147323
2135,glaciers,fixed,19.108732423336,15.299997566154405,23.039725252129372
2136,glaciers,fixed,19.235802479940208,15.416043691296583,23.194996080208817
2137,glaciers,fixed,19.375463940931304,15.53081675166688,23.352919996962413
2138,glaciers,fixed,19.510863411879143,15.617724571314877,23.509144594898135
2139,glaciers,fixed,19.634435521305534,15.714380351740687,23.656391398225583
2140,glaciers,fixed,19.767459010243297,15.824900599214297,23.79595873366706
2141,glaciers,fixed,19.890641762458507,15.926974577392212,23.931209077011665
2142,glaciers,fixed,20.00805570888135,16.03087713794868,24.070209175097716
2143,glaciers,fixed,20.135399856268783,16.12146966057898,24.206863872258364
2144,glaciers,fixed,20.25400085718066,16.212603929258684,24.350342363153885
2145,glaciers,fixed,20.370861214405267,16.317511922429723,24.485477291908843
2146,glaciers,fixed,20.49077706743948,16.40070096962903,24.625164513787396
2147,glaciers,fixed,20.602332544310528,16.474851480295673,24.755384400461768
2148,glaciers,fixed,20.715640861451245,16.559300316683718,24.878093846596794
2149,glaciers,fixed,20.831580768637906,16.643333437022836,25.004558581924673
2150,glaciers,fixed,20.954335807184197,16.725642976526867,25.128541598665144
2151,glaciers,fixed,21.06899581991646,16.808799509308685,25.24904711392266
2152,glaciers,fixed,21.165422144058077,16.895685124357772,25.367266214450538
2153,glaciers,fixed,21.26986826461569,16.97762266873741,25.483811313142454
2154,glaciers,fixed,21.362024630772098,17.060311804369714,25.603526317295543
2155,glaciers,fixed,21.46792139777819,17.14216426679999,25.711152012314994
2156,glaciers,fixed,21.566981258514783,17.222456435551276,25.823306786782368
2157,glaciers,fixed,21.664826781335933,17.307360497026373,25.948164656214658
2158,glaciers,fixed,21.7753718195396,17.378860063477365,26.06741047399683
2159,glaciers,fixed,21.87090922570576,17.456110310113267,26.178883532196984
2160,glaciers,fixed,21.963062433015438,17.535923713173773,26.28490156314949
2161,glaciers,fixed,22.051381512562074,17.61565569667063,26.38810230468155
2162,glaciers,fixed,22.143259871248873,17.694022650633773,26.49329070317356
2163,glaciers,fixed,22.241328623505005,17.762416100630823,26.60729561714042
2164,glaciers,fixed,22.329267094603797,17.83602035196022,26.712258127534966
2165,glaciers,fixed,22.423048751858666,17.90863277478555,26.823079045337472
2166,glaciers,fixed,22.517636375493787,17.986691254881496,26.940030059542746
2167,glaciers,fixed,22.604285034645144,18.066094159492977,27.046829875787438
2168,glaciers,fixed,22.69171883402896,18.128856088091986,27.146436096574426
2169,glaciers,fixed,22.77021459507406,18.1878611269954,27.23608829259547
2170,glaciers,fixed,22.849995604589004,18.255036343433485,27.32002389022254
2171,glaciers,fixed,22.926645037413714,18.32159941226386,27.40558342620536
2172,glaciers,fixed,23.004713530104574,18.387663993817355,27.506076883116574
2173,glaciers,fixed,23.086869266426486,18.45341922811059,27.60611960607201
2174,glaciers,fixed,23.167153565825394,18.503839088934303,27.699858818917484
2175,glaciers,fixed,23.246560356773607,18.554380277101203,27.79438179994575
2176,glaciers,fixed,23.320405764732612,18.612930100937113,27.87990630156315
2177,glaciers,fixed,23.39391635444806,18.66733280663775,27.96298888834663
2178,glaciers,fixed,23.46100455668529,18.71253435499863,28.043958246801186
2179,glaciers,fixed,23.53204160712042,18.76824099914056,28.12162361851364
2180,glaciers,fixed,23.597791669998823,18.811254361414495,28.198235387315876
2181,glaciers,fixed,23.659147451709885,18.864284098329236,28.279585045466327
2182,glaciers,fixed,23.725171590818476,18.917403176445536,28.35587099354566
2183,glaciers,fixed,23.791056631595964,18.964228209673532,28.430451927680398
2184,glaciers,fixed,23.850479752488425,19.01061105214487,28.503534362215845
2185,glaciers,fixed,23.909787687591276,19.062902264408418,28.575471401928453
2186,glaciers,fixed,23.97123171982396,19.107930525864088,28.645633246025632
2187,glaciers,fixed,24.034124172957853,19.14702574310358,28.71718517732177
2188,glaciers,fixed,24.090800722280846,19.190870379715122,28.789841200221293
2189,glaciers,fixed,24.153174188082865,19.239678434680055,28.86182245307685
2190,glaciers,fixed,24.211991655425273,19.270135875104902,28.93674211199571
2191,glaciers,fixed,24.272212634156723,19.31044624864883,29.023822353974776
2192,glaciers,fixed,24.329844898132677,19.35092486859871,29.11404261257683
2193,glaciers,fixed,24.390490903460698,19.391043265396835,29.201341481247546
2194,glaciers,fixed,24.44370346942374,19.430622612946667,29.27903370897034
2195,glaciers,fixed,24.500838079540415,19.470772718844806,29.347481250042613
2196,glaciers,fixed,24.548518504411593,19.51213273628918,29.413888503500104
2197,glaciers,fixed,24.601805032151688,19.55303554693654,29.47980671325632
2198,glaciers,fixed,24.660673493853633,19.59329484154532,29.54490685633337
2199,glaciers,fixed,24.718854658758644,19.629015476058203,29.60839169883278
2200,glaciers,fixed,24.769360512395984,19.67214121531311,29.6705903058666
2201,glaciers,fixed,24.81715658970219,19.709340655639277,29.721287430753073
2202,glaciers,fixed,24.864261760314488,19.74379247936794,29.77045875948786
2203,glaciers,fixed,24.908384696584847,19.777611845351142,29.832258658420706
2204,glaciers,fixed,24.953963834200827,19.811691074398087,29.87914872365128
2205,glaciers,fixed,25.005424578495962,19.85597031279542,29.922650437986544
2206,glaciers,fixed,25.056529141283715,19.886659799920032,29.977434163567796
2207,glaciers,fixed,25.096920952654393,19.916756798233173,30.03537716801781
2208,glaciers,fixed,25.141400587708187,19.94617224376743,30.094114658718233
