year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.7164018888025865,-0.8767215693159343,-0.6313538049035966
1991,glaciers,fixed,-0.6828063999836569,-0.8307879728201063,-0.6032612996148283
1992,glaciers,fixed,-0.6450100169661215,-0.7778389322408761,-0.5732130965806023
1993,glaciers,fixed,-0.6255954362681042,-0.7473264036192329,-0.5581063056834337
1994,glaciers,fixed,-0.5846978161526426,-0.6967939359662226,-0.5225560894014304
1995,glaciers,fixed,-0.5481660487077797,-0.6502401699345464,-0.4913829124821292
1996,glaciers,fixed,-0.5000195931929339,-0.5921436556455688,-0.4485481859680694
1997,glaciers,fixed,-0.4591311906090616,-0.5387420990885291,-0.4145585888265218
1998,glaciers,fixed,-0.41133257261993306,-0.4806552568083246,-0.37244232993666015
1999,glaciers,fixed,-0.333771414126939,-0.3918997917374408,-0.3021135159183939
2000,glaciers,fixed,-0.28955233902127864,-0.33847635340485355,-0.2626920843251691
2001,glaciers,fixed,-0.23938868750228015,-0.27969861080697245,-0.21668930251578145
2002,glaciers,fixed,-0.17868943050653252,-0.20716133331068956,-0.16212181876812665
2003,glaciers,fixed,-0.11489410571297398,-0.1304013684021371,-0.10451616772420164
2004,glaciers,fixed,-0.05098214095769249,-0.05798250531748461,-0.044919952578113695
2005,glaciers,fixed,0.002165787600055591,-0.007890713467999078,0.010800165885793508
2006,glaciers,fixed,0.07580844331039494,0.06259401729924688,0.09339853605085006
2007,glaciers,fixed,0.1585176032312936,0.14123155588470848,0.18494363829451613
2008,glaciers,fixed,0.22293770356180698,0.20048139852619284,0.2607137277548096
2009,glaciers,fixed,0.26978539497099563,0.2433698776421419,0.31735455698591997
2010,glaciers,fixed,0.33133585787041486,0.2987031223695382,0.3903430673978073
2011,glaciers,fixed,0.42704424729158363,0.3880677433140822,0.49729810908427563
2012,glaciers,fixed,0.4909190474784406,0.44614670633064113,0.5724916363126522
2013,glaciers,fixed,0.5457749549714057,0.4949011234825675,0.635531515579601
2014,glaciers,fixed,0.6029589006591842,0.547042456740619,0.7049027883241987
2015,glaciers,fixed,0.674764752375848,0.6126988094404061,0.7866437405653751
2016,glaciers,fixed,0.7499727205126621,0.6820661800359565,0.8698447737551913
2017,glaciers,fixed,0.8751378709946405,0.797546751372841,1.006455718791224
2018,glaciers,fixed,0.9558824462914304,0.8705508073585287,1.0988767544900768
2019,glaciers,fixed,1.0239276653919887,0.931531495718893,1.1779887433082012
2020,glaciers,fixed,1.1187831695741992,1.016863471659871,1.286030877543611
2021,glaciers,fixed,1.189243524326447,1.0810671362925552,1.3665364950962833
2022,glaciers,fixed,1.2588221260188242,1.1444194408801678,1.4458490501416252
2023,glaciers,fixed,1.3329107800800002,1.2120127915775338,1.5330750680358214
2024,glaciers,fixed,1.4261966070921512,1.296456988616599,1.6394170731454134
2025,glaciers,fixed,1.5207503015211423,1.3813213351366276,1.7468014710695978
2026,glaciers,fixed,1.6162595116838325,1.466799217415048,1.8526406746677004
2027,glaciers,fixed,1.7133310253917418,1.555447051411135,1.9620223281116824
2028,glaciers,fixed,1.8122455297363151,1.6421932722702295,2.0738387874533766
2029,glaciers,fixed,1.9113117341188595,1.731008800140145,2.18453092891868
2030,glaciers,fixed,2.012019521726281,1.8206047222626005,2.293305036716856
2031,glaciers,fixed,2.112525771356193,1.9102898329986657,2.40743872270319
2032,glaciers,fixed,2.213939773486423,2.0013584752238365,2.5215761645123
2033,glaciers,fixed,2.317373777772072,2.093878243854822,2.6413155691807293
2034,glaciers,fixed,2.422307079965453,2.1868569027786,2.75828621460703
2035,glaciers,fixed,2.528511595128706,2.2812006264808606,2.8784211432603195
2036,glaciers,fixed,2.6367404284850875,2.3764467601026587,3.0016172877042853
2037,glaciers,fixed,2.7487167325722504,2.473951110170393,3.1287121371885918
2038,glaciers,fixed,2.861822559371468,2.5741577818847934,3.2571090272971306
2039,glaciers,fixed,2.9761919398864918,2.6755138452282217,3.387200301462837
2040,glaciers,fixed,3.0936122098244394,2.7798588863113447,3.522135147489953
2041,glaciers,fixed,3.2117205279450234,2.8853432685809137,3.6548144381274326
2042,glaciers,fixed,3.3316330128811344,2.9939689578460493,3.789841699744695
2043,glaciers,fixed,3.451810151316149,3.101186515491652,3.927605936509721
2044,glaciers,fixed,3.57385399545165,3.207530057910079,4.064509001198623
2045,glaciers,fixed,3.6977306164363397,3.3165497817208593,4.2034976220065925
2046,glaciers,fixed,3.8265852993115375,3.429581874986766,4.350454403133887
2047,glaciers,fixed,3.958652469376079,3.5439590604926003,4.4983858073729355
2048,glaciers,fixed,4.0923400218850645,3.664717646972838,4.651003414425949
2049,glaciers,fixed,4.230389341516794,3.7847608144486626,4.810431722432208
2050,glaciers,fixed,4.368685934190795,3.9079889251563795,4.9673830046695695
2051,glaciers,fixed,4.508972940575468,4.036050183729877,5.127071741875056
2052,glaciers,fixed,4.6526478965895475,4.164163985722945,5.295529094221557
2053,glaciers,fixed,4.797231327804249,4.291681401091708,5.458264267684671
2054,glaciers,fixed,4.942102688217075,4.415191381752586,5.621831252138057
2055,glaciers,fixed,5.091032850867883,4.541016129124963,5.789726113769818
2056,glaciers,fixed,5.2403598184731335,4.668874038168383,5.960211952415276
2057,glaciers,fixed,5.395767026341683,4.799480307527092,6.134811074581941
2058,glaciers,fixed,5.548835199769055,4.931414275819405,6.311259031766136
2059,glaciers,fixed,5.704208474565787,5.066136157513585,6.493500494915158
2060,glaciers,fixed,5.8644349108593286,5.202799813422785,6.674183829304142
2061,glaciers,fixed,6.027731712142511,5.342427826514099,6.8531337530475485
2062,glaciers,fixed,6.190337946980913,5.48042813877896,7.035480417308495
2063,glaciers,fixed,6.354657345365263,5.621978756672676,7.228435790887365
2064,glaciers,fixed,6.5169411669175155,5.763502615901548,7.415864517079575
2065,glaciers,fixed,6.685244242188299,5.904217455468968,7.606306711109812
2066,glaciers,fixed,6.852516166850481,6.046518981359358,7.795304012774675
2067,glaciers,fixed,7.019371864086098,6.192067136485737,7.992063534121226
2068,glaciers,fixed,7.187930850234567,6.341432762421146,8.19296876791144
2069,glaciers,fixed,7.358426417731198,6.491076633084263,8.397638533196679
2070,glaciers,fixed,7.5337716311210725,6.6407459546755305,8.594608847810864
2071,glaciers,fixed,7.706493743641452,6.790603428155492,8.798528736379518
2072,glaciers,fixed,7.882214006312179,6.9434908905400885,8.99847956041709
2073,glaciers,fixed,8.060390216511731,7.098988772243986,9.21672216440712
2074,glaciers,fixed,8.239600810243061,7.2500447028147175,9.429220330664757
2075,glaciers,fixed,8.423205561967272,7.408034984969051,9.63936179718095
2076,glaciers,fixed,8.60618238114678,7.55794016332856,9.858231522937153
2077,glaciers,fixed,8.790997964402814,7.70771074979221,10.07138314043923
2078,glaciers,fixed,8.976085534429412,7.857843433885048,10.287620091900683
2079,glaciers,fixed,9.16169173585719,8.013136977682477,10.501702821091243
2080,glaciers,fixed,9.346814419582039,8.168662892937697,10.727076405336913
2081,glaciers,fixed,9.531501720699225,8.317072122146156,10.948543713330412
2082,glaciers,fixed,9.717897782624718,8.46963172337028,11.1761324081489
2083,glaciers,fixed,9.909650788251636,8.628444226923442,11.407678962059082
2084,glaciers,fixed,10.103786675017394,8.783032347208588,11.631079882390994
2085,glaciers,fixed,10.3016093825258,8.93537368452569,11.855278945529445
2086,glaciers,fixed,10.49938665575932,9.094360278615376,12.080000597624656
2087,glaciers,fixed,10.6969352254632,9.25580789238627,12.295624503536828
