year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.6663032249651273,-0.8935106608068273,-0.47346467776828005
1991,glaciers,fixed,-0.6370501069386558,-0.8489612692546618,-0.45471000340967366
1992,glaciers,fixed,-0.602868735317756,-0.8014307116258246,-0.4305631039506545
1993,glaciers,fixed,-0.5857504108715501,-0.7748643218140299,-0.4187794742498588
1994,glaciers,fixed,-0.5485075630263041,-0.7251191186855072,-0.39222173631381224
1995,glaciers,fixed,-0.5161184319248777,-0.6793880478951293,-0.3693433169592634
1996,glaciers,fixed,-0.4722576976513566,-0.6218539572377627,-0.336731880819197
1997,glaciers,fixed,-0.43440363945829485,-0.5709872072528429,-0.3112049011903739
1998,glaciers,fixed,-0.3895835677327757,-0.5116632658560535,-0.27998467176716074
1999,glaciers,fixed,-0.3157287465349665,-0.41468542256579066,-0.22671699187670763
2000,glaciers,fixed,-0.27504943738271637,-0.3619900669230506,-0.19773182608692358
2001,glaciers,fixed,-0.22833118303044975,-0.3001763590261149,-0.164308425438073
2002,glaciers,fixed,-0.1708002877792516,-0.22476919630227576,-0.12408883147229904
2003,glaciers,fixed,-0.10978395427046772,-0.14412650543412786,-0.07979588309134794
2004,glaciers,fixed,-0.04937321266096584,-0.06609841694440469,-0.035411335257465246
2005,glaciers,fixed,0.00028835833475993056,-0.010465469875598021,0.00995228114450324
2006,glaciers,fixed,0.07049868188633024,0.04730262151045674,0.09662303327872225
2007,glaciers,fixed,0.15024733200883955,0.10602210046047117,0.19813498489726897
2008,glaciers,fixed,0.21121740304421044,0.1504878041838873,0.27760379401005275
2009,glaciers,fixed,0.2544047884290368,0.18169024105228954,0.33455048856778147
2010,glaciers,fixed,0.3125217737860715,0.22330299454275912,0.4107741736809663
2011,glaciers,fixed,0.40642729616264406,0.2921593014472437,0.5333574328193293
2012,glaciers,fixed,0.4672273114588217,0.33703380613724065,0.6135147134045351
2013,glaciers,fixed,0.5171195379542153,0.3752563177365244,0.6783925926943968
2014,glaciers,fixed,0.5712665732271844,0.4134450078316112,0.7512496114055064
2015,glaciers,fixed,0.6400300592718979,0.4635455064768339,0.8418138242631682
2016,glaciers,fixed,0.7124937617223428,0.5178917432598251,0.9338709892590102
2017,glaciers,fixed,0.8365301435948993,0.6091950500995631,1.0958186177355174
2018,glaciers,fixed,0.9140843511370571,0.6651639233683766,1.1965066827882407
2019,glaciers,fixed,0.9781604732522016,0.710549028825108,1.281863120615112
2020,glaciers,fixed,1.0702991056101179,0.7776480421548378,1.4026699210602835
2021,glaciers,fixed,1.1382099813342053,0.8277626943655043,1.4904695261438257
2022,glaciers,fixed,1.2045975583518496,0.8774373454495303,1.5762381633483538
2023,glaciers,fixed,1.2772601034514048,0.9296009010293038,1.6683411785370916
2024,glaciers,fixed,1.3669966042368566,0.9954885921504647,1.7876915547239296
2025,glaciers,fixed,1.458809151002336,1.0616505673374244,1.9055012342002442
2026,glaciers,fixed,1.5496840094706927,1.1299644689832644,2.0244892973023108
2027,glaciers,fixed,1.645294626342587,1.2008045899996425,2.1473851419459407
2028,glaciers,fixed,1.7419905580515058,1.2710386226640082,2.2695676883207767
2029,glaciers,fixed,1.8384629044536538,1.3418949891832488,2.3943500630289347
2030,glaciers,fixed,1.9362170552997875,1.4136069495189325,2.5189423390222125
2031,glaciers,fixed,2.034367090375274,1.486459329092625,2.643984392454944
2032,glaciers,fixed,2.132057181730299,1.5576950779625802,2.7706714293945587
2033,glaciers,fixed,2.23113122365986,1.6301641368205386,2.8985324253341602
2034,glaciers,fixed,2.3302871582925975,1.7037353522433276,3.027516742118535
2035,glaciers,fixed,2.4328701152102,1.781460725267088,3.15514888901484
2036,glaciers,fixed,2.537238571139215,1.8632049930686436,3.286871581255945
2037,glaciers,fixed,2.6461472994918167,1.9489120273741671,3.4208713208575285
2038,glaciers,fixed,2.7536633768185172,2.0287232985699,3.5577748772806674
2039,glaciers,fixed,2.8637122412007714,2.1110474261945784,3.7002166786064734
2040,glaciers,fixed,2.9744537820585744,2.197615253552425,3.8405937675219337
2041,glaciers,fixed,3.0898659345783477,2.2870303378227215,3.9826465816225944
2042,glaciers,fixed,3.201311248017316,2.378154146455494,4.122291602024641
2043,glaciers,fixed,3.3151613586739366,2.467171396452778,4.264475662448592
2044,glaciers,fixed,3.433509988357378,2.559113170116637,4.409015252603768
2045,glaciers,fixed,3.550695414876662,2.652515238325937,4.554241504895384
2046,glaciers,fixed,3.668651982232984,2.7439999044602934,4.707938209481461
2047,glaciers,fixed,3.7911537806514772,2.8359658058522235,4.865061452229695
2048,glaciers,fixed,3.917477153219105,2.931269261646343,5.0221507845612186
2049,glaciers,fixed,4.038819979781032,3.026641214259053,5.179568008135101
2050,glaciers,fixed,4.166629012623747,3.1275471490385316,5.339344213995659
2051,glaciers,fixed,4.294178396380819,3.22655080456662,5.496354782791223
2052,glaciers,fixed,4.424579575223755,3.325930736724947,5.652537767142494
2053,glaciers,fixed,4.555670527119435,3.428894027762792,5.8132475899783405
2054,glaciers,fixed,4.688610794533609,3.5263248403306746,5.975392058398398
2055,glaciers,fixed,4.820711120249658,3.6319812843694432,6.138334067155409
2056,glaciers,fixed,4.953541358875402,3.7369024127386172,6.297112277970202
2057,glaciers,fixed,5.087811338674283,3.8432999910833106,6.45278797463038
2058,glaciers,fixed,5.225113310763082,3.943981070898284,6.628026093055447
2059,glaciers,fixed,5.364336462825893,4.04528853667561,6.794496703553843
2060,glaciers,fixed,5.503458189191241,4.152426327086254,6.961841352982921
2061,glaciers,fixed,5.643248348256098,4.263074947399047,7.126424348896635
2062,glaciers,fixed,5.781308740522524,4.376139904941255,7.289542163463379
2063,glaciers,fixed,5.91735098902837,4.488136924774864,7.452631055372174
2064,glaciers,fixed,6.056191384371569,4.602902220074217,7.6286139508177815
2065,glaciers,fixed,6.1950537674040245,4.713104983406039,7.798338102443142
2066,glaciers,fixed,6.333986016189202,4.8137531573075,7.967741137015391
2067,glaciers,fixed,6.4722831453142184,4.927129335174819,8.137307793891397
2068,glaciers,fixed,6.613830543891642,5.041587889639852,8.307371354429492
2069,glaciers,fixed,6.75820123176428,5.15691854590375,8.47499673199812
2070,glaciers,fixed,6.899405222605406,5.264374834014244,8.648010918374487
2071,glaciers,fixed,7.04210479409833,5.380849687767932,8.825895437505112
2072,glaciers,fixed,7.190391572153334,5.489005564685115,8.992949719688951
2073,glaciers,fixed,7.33208079615992,5.608572798825589,9.161658043920543
2074,glaciers,fixed,7.475608475608771,5.726554939898253,9.325551944090737
2075,glaciers,fixed,7.617292489407153,5.838371864744966,9.4934479823704
2076,glaciers,fixed,7.760982658852136,5.950472560523165,9.663805920632418
2077,glaciers,fixed,7.908168034894133,6.063010154950715,9.837748739552099
2078,glaciers,fixed,8.049842468417793,6.179403659762444,10.016002492110719
2079,glaciers,fixed,8.195609105015517,6.303544999628967,10.192938004814252
2080,glaciers,fixed,8.335010807357683,6.424810944242003,10.358515223589652
2081,glaciers,fixed,8.478823628095254,6.534750295445359,10.536608396154469
2082,glaciers,fixed,8.627002414122394,6.656445902323152,10.709015120083542
2083,glaciers,fixed,8.772693534095554,6.777257252571398,10.881099595473627
2084,glaciers,fixed,8.917832803120794,6.906438172500692,11.063525939497246
2085,glaciers,fixed,9.066306760381153,7.033277899935253,11.2429818490107
2086,glaciers,fixed,9.212013939579073,7.162037048448994,11.406281429092159
2087,glaciers,fixed,9.362890907311048,7.286801534696956,11.57865725757206
2088,glaciers,fixed,9.502029815073337,7.405752066731655,11.745534291225551
2089,glaciers,fixed,9.64961423441335,7.523804629658962,11.91582178356578
2090,glaciers,fixed,9.793734342430891,7.640111395016281,12.092909985421507
2091,glaciers,fixed,9.9224948746422,7.757220596946492,12.254244051321304
2092,glaciers,fixed,10.065183364591569,7.883920199099021,12.419312955103774
2093,glaciers,fixed,10.216359994124783,8.010645722681218,12.589884367003988
2094,glaciers,fixed,10.366891690913949,8.12043629640598,12.755633085361923
2095,glaciers,fixed,10.505415957238077,8.245191293791535,12.921723952486289
2096,glaciers,fixed,10.647804007124057,8.367429874383852,13.086915950968145
2097,glaciers,fixed,10.793121441941665,8.481434456835741,13.252291449540904
2098,glaciers,fixed,10.935363444086343,8.597506427273501,13.428332376366157
2099,glaciers,fixed,11.07638031131026,8.712907809083111,13.600385651681574
2100,glaciers,fixed,11.22238109828817,8.826676725445708,13.774181581837192
2101,glaciers,fixed,11.363511309596905,8.939916641876014,13.933003858925671
2102,glaciers,fixed,11.50442579784358,9.058098497638982,14.09288149395155
2103,glaciers,fixed,11.643200713643296,9.16542874761423,14.26088682086882
2104,glaciers,fixed,11.784682054149732,9.27274859746398,14.41634681701308
2105,glaciers,fixed,11.92076011327422,9.382165082883658,14.570755466392308
2106,glaciers,fixed,12.057574741404613,9.493705425631857,14.723458148074767
2107,glaciers,fixed,12.197135339469847,9.602542735269106,14.875009838988166
2108,glaciers,fixed,12.332275907377475,9.718120946885083,15.034341696024164
2109,glaciers,fixed,12.470209425653362,9.836929129650734,15.199042694407694
2110,glaciers,fixed,12.608941387956609,9.947230137765374,15.35887894714387
2111,glaciers,fixed,12.748780866591783,10.061289939389523,15.514615158327473
2112,glaciers,fixed,12.881701676277832,10.175855605142614,15.673598797323395
2113,glaciers,fixed,13.019119859248883,10.293205085128111,15.843695978130889
2114,glaciers,fixed,13.150730275075453,10.404017145939394,16.01575599342974
2115,glaciers,fixed,13.281651006763722,10.522001925136058,16.175540178221993
2116,glaciers,fixed,13.414669338918934,10.629753720866606,16.306841048024307
2117,glaciers,fixed,13.544331642512692,10.743507565291274,16.473223284468958
2118,glaciers,fixed,13.681970977580065,10.853806661252195,16.61756345577671
2119,glaciers,fixed,13.819175629835584,10.970575058267295,16.77217513118699
2120,glaciers,fixed,13.950566752377737,11.073670744824591,16.92589866345645
2121,glaciers,fixed,14.075900598102656,11.172364337411393,17.079335089945527
2122,glaciers,fixed,14.209475335465054,11.27877147975352,17.23028334781482
2123,glaciers,fixed,14.342400370651637,11.378580261679282,17.38018733874681
2124,glaciers,fixed,14.476247831856018,11.476206521731303,17.52925971482319
2125,glaciers,fixed,14.59928386547693,11.579053220564306,17.67766136200575
2126,glaciers,fixed,14.719802252537574,11.674223424898535,17.830901158181124
2127,glaciers,fixed,14.846912132657899,11.772521911136664,17.9771077380596
2128,glaciers,fixed,14.969265940568036,11.878084610332426,18.12410455160505
2129,glaciers,fixed,15.098382578320589,11.994416292596275,18.27822162482588
2130,glaciers,fixed,15.226637314395088,12.100287988948708,18.424809417326475
2131,glaciers,fixed,15.353325283746116,12.208526004698948,18.57408372197931
2132,glaciers,fixed,15.474272146150629,12.302770791324066,18.731832599276434
2133,glaciers,fixed,15.59354967505714,12.407222777578287,18.888095858748844
2134,glaciers,fixed,15.714339334701592,12.524502617071711,19.02747249831831
2135,glaciers,fixed,15.83445320630618,12.623726219221934,19.177867111010798
2136,glaciers,fixed,15.948121917122762,12.722468939066951,19.314712836188576
2137,glaciers,fixed,16.06555248519716,12.83371790561022,19.436467553314067
2138,glaciers,fixed,16.18301391143359,12.943906281706356,19.594604241979916
2139,glaciers,fixed,16.29789238838818,13.043930162576215,19.7232933170332
2140,glaciers,fixed,16.424901632699104,13.14316946372009,19.869562527985828
2141,glaciers,fixed,16.53489336547937,13.242003030106043,20.005399113380253
2142,glaciers,fixed,16.643745391387615,13.335544985732634,20.139749068775703
2143,glaciers,fixed,16.74686868372045,13.43019308128137,20.275021012140822
2144,glaciers,fixed,16.863737999829898,13.53251363355117,20.404865624590254
2145,glaciers,fixed,16.974213282252148,13.62331867440371,20.53576132660485
2146,glaciers,fixed,17.08405788837552,13.703708237073572,20.666061700070095
2147,glaciers,fixed,17.190957813223513,13.77667303957444,20.79491642118895
2148,glaciers,fixed,17.303898327054725,13.882521284903447,20.933469925026568
2149,glaciers,fixed,17.413492101132313,13.964452559586967,21.07569402196248
2150,glaciers,fixed,17.514360365011697,14.052550912599237,21.210185165807843
2151,glaciers,fixed,17.62529347931017,14.144141779049205,21.34692416110302
2152,glaciers,fixed,17.73655790108839,14.243258759387462,21.47506046038724
2153,glaciers,fixed,17.847530333009054,14.33189408821379,21.60538902956186
2154,glaciers,fixed,17.948106179580222,14.413903766342388,21.727091565080404
2155,glaciers,fixed,18.047269116037143,14.502758561017389,21.85150472275303
2156,glaciers,fixed,18.154111320963523,14.582512843332742,21.970169266623024
2157,glaciers,fixed,18.257216690449603,14.672606749361403,22.068797955494755
2158,glaciers,fixed,18.357918315319893,14.748553873736734,22.17894291972935
2159,glaciers,fixed,18.459647837563907,14.82842669107567,22.293282769207543
2160,glaciers,fixed,18.565377045718037,14.902027394217711,22.402298873245922
2161,glaciers,fixed,18.660837190389095,14.974501578136831,22.522130737617335
2162,glaciers,fixed,18.764339830287437,15.047661207325056,22.651709337938215
2163,glaciers,fixed,18.861530952255308,15.135328621072937,22.78510127153309
2164,glaciers,fixed,18.956795976075508,15.23190015006357,22.89079273540627
2165,glaciers,fixed,19.054470987925097,15.311230044404972,22.994269884069187
2166,glaciers,fixed,19.15018016050304,15.39029390962946,23.096173934867426
2167,glaciers,fixed,19.247722377641665,15.481193075702452,23.201927201083617
2168,glaciers,fixed,19.33844210576699,15.555085666564606,23.349571289371166
2169,glaciers,fixed,19.43807905980254,15.624812507501206,23.454413950209226
2170,glaciers,fixed,19.534479513976393,15.70734967619837,23.570099860628513
2171,glaciers,fixed,19.629228153627704,15.79814429469034,23.661629031151268
