year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.8726136701242013,-1.0165501249176314,-0.7622554230824884
1991,glaciers,fixed,-0.8176537172466929,-0.9525385099442605,-0.7143609997448793
1992,glaciers,fixed,-0.7601983288749219,-0.8857419570596815,-0.6643764028642438
1993,glaciers,fixed,-0.7101739274731945,-0.8277869319700997,-0.6209642145154786
1994,glaciers,fixed,-0.6774477412260314,-0.7898449777893592,-0.5925288740103547
1995,glaciers,fixed,-0.6421949264054486,-0.7488627194877572,-0.5619034497115329
1996,glaciers,fixed,-0.5972942784522108,-0.6966705331644933,-0.5228140630414473
1997,glaciers,fixed,-0.544530362557117,-0.6350716913999068,-0.4766708220127625
1998,glaciers,fixed,-0.48602170373262393,-0.5667739110295754,-0.42549800245819075
1999,glaciers,fixed,-0.4243897186090543,-0.494967895177061,-0.37168321427922246
2000,glaciers,fixed,-0.3597988182601438,-0.4196828573307862,-0.31524950194879664
2001,glaciers,fixed,-0.2909131247789625,-0.3393679758754264,-0.25503005087909325
2002,glaciers,fixed,-0.217920892070115,-0.25425457376450056,-0.19121641763037958
2003,glaciers,fixed,-0.14226375199312621,-0.16596163977153722,-0.12499837041807328
2004,glaciers,fixed,-0.06504185966495543,-0.07573240503558352,-0.05702572795841662
2005,glaciers,fixed,0.012669431374098122,0.01074184082161457,0.015319483197870283
2006,glaciers,fixed,0.09137648044524166,0.07965777912632657,0.10657025535271286
2007,glaciers,fixed,0.17007439656324033,0.14849014309740857,0.19825841124388002
2008,glaciers,fixed,0.24943550942055637,0.2179883482704699,0.29062543521157347
2009,glaciers,fixed,0.3294099521873213,0.2883447451053944,0.38420165046268323
2010,glaciers,fixed,0.41156323999921524,0.360329544640515,0.47991354829824046
2011,glaciers,fixed,0.4953546716571399,0.4340167643320843,0.5778502838949395
2012,glaciers,fixed,0.5815854753015784,0.5097025766164586,0.6783980651497332
2013,glaciers,fixed,0.6697204132162321,0.587287068467218,0.7814266902762811
2014,glaciers,fixed,0.76020093591097,0.6668717346539902,0.8871280983369291
2015,glaciers,fixed,0.8537229529950359,0.7490800312238342,0.9960388480626935
2016,glaciers,fixed,0.9492468701426999,0.833343944836688,1.1074939603422351
2017,glaciers,fixed,1.0466818071987027,0.9192593233429482,1.2210312975484716
2018,glaciers,fixed,1.145987429980989,1.0071559074259127,1.337071792863202
2019,glaciers,fixed,1.24846842930269,1.097029015623699,1.4564731351940523
2020,glaciers,fixed,1.3528079446064316,1.188496504998705,1.5779334523486748
2021,glaciers,fixed,1.4572242315264752,1.2800408777787708,1.6999584103825958
2022,glaciers,fixed,1.563878785049993,1.3727949833004722,1.82313820229222
2023,glaciers,fixed,1.672809543852252,1.4678035043805613,1.9484061982199854
2024,glaciers,fixed,1.7836934506372544,1.5653210940047977,2.0762288559785094
2025,glaciers,fixed,1.897362049865496,1.6658209305633191,2.2068129076762832
2026,glaciers,fixed,2.0129770741498283,1.7686000151259627,2.342362058671264
2027,glaciers,fixed,2.1309223955566474,1.8717519983972157,2.4808613215652646
2028,glaciers,fixed,2.2506136854746277,1.9769279642269655,2.6211105386349614
2029,glaciers,fixed,2.37203298990368,2.082819287080485,2.7626611548408735
2030,glaciers,fixed,2.4948254086297847,2.187829446889504,2.9058929342300326
2031,glaciers,fixed,2.6188381431379364,2.293788816601952,3.0506769931526576
2032,glaciers,fixed,2.7422027401367246,2.4037799277911494,3.1941216779882495
2033,glaciers,fixed,2.868281687217434,2.514926723536642,3.340158942218079
2034,glaciers,fixed,2.9934330771244477,2.6260489105282336,3.488423789199073
2035,glaciers,fixed,3.120963968411206,2.738518614643815,3.632168529147457
2036,glaciers,fixed,3.2482981737333048,2.851383723238367,3.7795083436038466
2037,glaciers,fixed,3.3778667873390376,2.9645862646722545,3.930163170397514
2038,glaciers,fixed,3.509262063098367,3.0811949934985714,4.082102235925602
2039,glaciers,fixed,3.6417101039974966,3.1989202551173306,4.235295823413545
2040,glaciers,fixed,3.7756998466796503,3.317721487716919,4.389685545672075
2041,glaciers,fixed,3.909797236472487,3.437036997745722,4.544456771730722
2042,glaciers,fixed,4.0456458401142825,3.5566959564311253,4.699516653803378
2043,glaciers,fixed,4.181260001334045,3.6768531773544892,4.856616195720233
2044,glaciers,fixed,4.317262885251653,3.797666331283559,5.015254700012088
2045,glaciers,fixed,4.454030211222314,3.91556751035343,5.174565043590881
2046,glaciers,fixed,4.59269659737928,4.034814473171562,5.333508751066119
2047,glaciers,fixed,4.731381160643233,4.157028192560454,5.491728131905987
2048,glaciers,fixed,4.870480450364033,4.280063416848149,5.65041365788619
2049,glaciers,fixed,5.009204401035875,4.401177949882825,5.808496833560762
2050,glaciers,fixed,5.1478823209771605,4.520139619470203,5.972704391245314
2051,glaciers,fixed,5.28789488801846,4.639270251076091,6.13920353304164
2052,glaciers,fixed,5.428266113832816,4.758393608316786,6.305966225957238
2053,glaciers,fixed,5.567692261532564,4.877633613391841,6.473062540517367
2054,glaciers,fixed,5.707567525749658,5.001125483236309,6.640259773600924
2055,glaciers,fixed,5.847626993795066,5.124897356026539,6.807498712658434
2056,glaciers,fixed,5.987114752141153,5.248635349236386,6.969300801486307
2057,glaciers,fixed,6.125906646281343,5.3722301134663875,7.126903177614298
2058,glaciers,fixed,6.268693091497432,5.496467993215418,7.284549740992179
2059,glaciers,fixed,6.411535723625132,5.622628684820161,7.445547143065646
2060,glaciers,fixed,6.55210366629437,5.746027903828456,7.610407145485516
2061,glaciers,fixed,6.691223069635242,5.870291232384974,7.767399630633044
2062,glaciers,fixed,6.833242799483395,5.995010566699511,7.933464968461934
2063,glaciers,fixed,6.972094514296133,6.119351362460378,8.095738312422178
2064,glaciers,fixed,7.111426080613398,6.244734619537723,8.255313510613698
2065,glaciers,fixed,7.248561551016798,6.370511287788223,8.415125349990555
2066,glaciers,fixed,7.3872853333564334,6.495478885184402,8.5755855603106
2067,glaciers,fixed,7.528582349595537,6.620419594744064,8.736952166799316
2068,glaciers,fixed,7.665280781070468,6.739239023777949,8.896884941954925
