year,component,arm,med_cm,p05_cm,p95_cm
1990,glaciers,fixed,-0.8726136701242013,-1.0165501249176314,-0.7622554230824884
1991,glaciers,fixed,-0.8176537172466929,-0.9525385099442605,-0.7143609997448793
1992,glaciers,fixed,-0.7601983288749219,-0.8857419570596815,-0.6643764028642438
1993,glaciers,fixed,-0.7101739274731945,-0.8277869319700997,-0.6209642145154786
1994,glaciers,fixed,-0.6774477412260314,-0.7898449777893592,-0.5925288740103547
1995,glaciers,fixed,-0.6421949264054486,-0.7488627194877572,-0.5619034497115329
1996,glaciers,fixed,-0.5972942784522108,-0.6966705331644933,-0.5228140630414473
1997,glaciers,fixed,-0.544530362557117,-0.6350716913999068,-0.4766708220127625
1998,glaciers,fixed,-0.48602170373262393,-0.5667739110295754,-0.42549800245819075
1999,glaciers,fixed,-0.4243897186090543,-0.494967895177061,-0.37168321427922246
2000,glaciers,fixed,-0.3597988182601438,-0.4196828573307862,-0.31524950194879664
2001,glaciers,fixed,-0.2909131247789625,-0.3393679758754264,-0.25503005087909325
2002,glaciers,fixed,-0.217920892070115,-0.25425457376450056,-0.19121641763037958
2003,glaciers,fixed,-0.14226375199312621,-0.16596163977153722,-0.12499837041807328
2004,glaciers,fixed,-0.06504185966495543,-0.07573240503558352,-0.05702572795841662
2005,glaciers,fixed,0.012669431374098122,0.01074184082161457,0.015319483197870283
2006,glaciers,fixed,0.09137648044524166,0.07965777912632657,0.10657025535271286
2007,glaciers,fixed,0.17007439656324033,0.14849014309740857,0.19825841124388002
2008,glaciers,fixed,0.24943550942055637,0.2179883482704699,0.29062543521157347
2009,glaciers,fixed,0.3294099521873213,0.2883447451053944,0.38420165046268323
2010,glaciers,fixed,0.41156323999921524,0.360329544640515,0.47991354829824046
2011,glaciers,fixed,0.4953546716571399,0.4340167643320843,0.5778502838949395
2012,glaciers,fixed,0.5815854753015784,0.5097025766164586,0.6783980651497332
2013,glaciers,fixed,0.6697204132162321,0.587287068467218,0.7814266902762811
2014,glaciers,fixed,0.76020093591097,0.6668717346539902,0.8871280983369291
2015,glaciers,fixed,0.8537229529950359,0.7490800312238342,0.9960388480626935
2016,glaciers,fixed,0.9492468701426999,0.833343944836688,1.1074939603422351
2017,glaciers,fixed,1.0466818071987027,0.9192593233429482,1.2210312975484716
2018,glaciers,fixed,1.145987429980989,1.0071559074259127,1.337071792863202
2019,glaciers,fixed,1.24846842930269,1.097029015623699,1.4564731351940523
2020,glaciers,fixed,1.3528079446064316,1.188496504998705,1.5779334523486748
2021,glaciers,fixed,1.4572242315264752,1.2800408777787708,1.6999584103825958
2022,glaciers,fixed,1.563878785049993,1.3727949833004722,1.82313820229222
2023,glaciers,fixed,1.672809543852252,1.4678035043805613,1.9484061982199854
2024,glaciers,fixed,1.7836934506372544,1.5653210940047977,2.0762288559785094
2025,glaciers,fixed,1.897362049865496,1.6658209305633191,2.2068129076762832
2026,glaciers,fixed,2.01282975876709,1.7684684732581821,2.342188361802754
2027,glaciers,fixed,2.1303957782015566,1.871294409862792,2.480239650490743
2028,glaciers,fixed,2.2493714807857854,1.9758298679036188,2.619653299672737
2029,glaciers,fixed,2.369708484593169,2.080834644419962,2.75998983331309
2030,glaciers,fixed,2.491110057844237,2.184664287301734,2.9015721257432583
2031,glaciers,fixed,2.6135042632064245,2.289206127779212,3.044418263476024
2032,glaciers,fixed,2.7351197731914856,2.3974058443791875,3.185831840628621
2033,glaciers,fixed,2.859255522805575,2.5068762613839306,3.3294224285256626
2034,glaciers,fixed,2.9826344834475647,2.6164475224193886,3.4761637730974155
2035,glaciers,fixed,3.1085342041844415,2.7278741769887063,3.6181588328700722
2036,glaciers,fixed,3.234711141990992,2.8391906574002768,3.763580654751313
2037,glaciers,fixed,3.363178650151732,2.951492633094553,3.913080363197802
2038,glaciers,fixed,3.4938361448626836,3.0675486651880157,4.0643214875289315
2039,glaciers,fixed,3.626107571923242,3.185146610221542,4.217372851159376
2040,glaciers,fixed,3.760469928355917,3.3042983529216894,4.372242058116491
2041,glaciers,fixed,3.89556136127768,3.424487632780253,4.5281885247232
2042,glaciers,fixed,4.033043963677079,3.545607275173718,4.68513399770798
2043,glaciers,fixed,4.1711429441888335,3.6678143873097544,4.844743482711164
2044,glaciers,fixed,4.310260186143127,3.7913699647101495,5.0069878060974204
2045,glaciers,fixed,4.450823942963989,3.9128140105629123,5.1708277352163075
2046,glaciers,fixed,4.594202502551786,4.03612886027357,5.335169367385449
2047,glaciers,fixed,4.738407905447587,4.1632270124225625,5.499963249392436
2048,glaciers,fixed,4.883771444552249,4.291900085254497,5.66551419154818
2049,glaciers,fixed,5.029665430932816,4.418684482717264,5.832364343058773
2050,glaciers,fixed,5.1766921671218435,4.544468182869122,6.006627530695772
2051,glaciers,fixed,5.325644216897686,4.671176086923965,6.183745418427889
2052,glaciers,fixed,5.474718364080231,4.798542589594271,6.36219136731807
2053,glaciers,fixed,5.625285295894345,4.92862578032889,6.542052191733704
2054,glaciers,fixed,5.777053965795231,5.062466385588671,6.72312055069562
2055,glaciers,fixed,5.928948299452448,5.1972746410333155,6.903756185682018
2056,glaciers,fixed,6.0821321934660055,5.332876105548722,7.076745933701211
2057,glaciers,fixed,6.23726951524074,5.469167883161179,7.250231355147957
2058,glaciers,fixed,6.395483602888531,5.608368077990873,7.426976674411491
2059,glaciers,fixed,6.552308587415279,5.746277698587754,7.610558537852681
2060,glaciers,fixed,6.70853041660977,5.885677858691212,7.786814431936429
2061,glaciers,fixed,6.868673389154555,6.0267846529258815,7.976102121188973
2062,glaciers,fixed,7.027854489283575,6.168887250612438,8.157356926633959
2063,glaciers,fixed,7.186299674645734,6.313602553371187,8.343738685137357
2064,glaciers,fixed,7.346569929525894,6.458784902789046,8.529080917762357
2065,glaciers,fixed,7.51125088096349,6.604785423495535,8.717003612754064
2066,glaciers,fixed,7.672616596841172,6.745718383886099,8.905416889827539
2067,glaciers,fixed,7.8360389624407,6.891966007103859,9.085705120695227
2068,glaciers,fixed,7.999749014949804,7.0390234366766835,9.272566172067572
