year,mean,p5,p50,p95
2025,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0
2031,0.00023483709325793447,0.00016277507288720017,0.0002441626095972538,0.0002798645050816617
2032,0.00042846826594869887,0.00029816612077127047,0.00042897361272054013,0.0005210650583009624
2033,0.0005993374292196218,0.0004257190337142447,0.0006114128836998134,0.0007182496409186001
2034,0.0007531356464467982,0.0005420640924569398,0.0007466239880571379,0.0009296263197455801
2035,0.0008949199182296231,0.000652027595116067,0.0008886459195167618,0.001098608809968482
2036,0.0010295782846291587,0.0007555852162610677,0.0010325219454543344,0.0012760258073285513
2037,0.001155211650955764,0.0008442840949030028,0.0011509145789290187,0.0014336980724394266
2038,0.0012759459141860514,0.000941433635226474,0.0012732449544472502,0.0015804892322890396
2039,0.0013911350778166396,0.0010239972917602813,0.0013911883351980237,0.0017425506584345385
2040,0.014686072259065423,0.0011036436138311956,0.0015027889777030623,0.0018829161657407667
2041,0.014871538917771135,0.0011873202193868337,0.001601635433878812,0.00201759743916341
2042,0.014971721480580418,0.0012590795156697254,0.0017067558086836243,0.0021526453380715793
2043,0.015068244884960842,0.001337687205449356,0.0018036655575315308,0.002293730535996019
2044,0.015161123510616669,0.0014039290352485523,0.0018961859165500528,0.0024186879713283815
2045,0.015252057977548925,0.0014698937178536653,0.001997041903933905,0.0025498124035294722
2046,0.015340239355604864,0.0015458916525545874,0.0020876660002500103,0.0026545203983374677
2047,0.015426226657625778,0.0015976807066664378,0.002169492638159909,0.0027815475021952807
2048,0.015510453223915732,0.0016718249305824884,0.0022573706232265067,0.0029149016146590156
2049,0.015593017980297537,0.0017266241886915168,0.002346125074836891,0.003030422724847881
2050,0.015673922968585777,0.0017807225717092479,0.0024284008038222282,0.003125160823813644
2051,0.015752964655338098,0.0018490979496021964,0.0025104449520085836,0.003248369160502307
2052,0.01583074867422421,0.0018977259220065434,0.0025827295324631905,0.003378424441535799
2053,0.015907376032934347,0.001961321242305303,0.002664475282898593,0.0034647780410068663
2054,0.01598210841799534,0.002008922651697276,0.0027374421321724185,0.003575622548623869
2055,0.01605535279347158,0.0020589516047664347,0.0028209043385629684,0.003688937741941345
2056,0.01612699705602839,0.002119583863802177,0.0028975399480657416,0.0037801307961160546
2057,0.01723749228590163,0.0021711631728038583,0.0029684887138614613,0.0038911689358656076
2058,0.01731419190407782,0.002222167281118459,0.0030357752272891503,0.003988635315010924
2059,0.017383252818960138,0.002281445520679881,0.003108758919978527,0.004087971523603073
2060,0.017452748236096185,0.0023212541400141617,0.0031823480494352907,0.004178930142728632
2061,0.01751854577408951,0.002371525156519283,0.003257563022884824,0.004281921996351912
2062,0.0175846524206453,0.0024201962894210283,0.003329772506788231,0.004371398656388692
2063,0.01764712063025596,0.002472011663812168,0.00338910128263592,0.004468377574795568
2064,0.017713777516599128,0.0025173921809340527,0.0034569725645638982,0.0045781955385848505
2065,0.017775608169100288,0.0025549877790354003,0.0035379591913908826,0.004638551180846662
2066,0.01783779239711276,0.002587180954805035,0.0035879016287765353,0.0047528143156228
2067,0.01789826595228759,0.0026401252405605646,0.0036573261269268187,0.004860361917025102
