transient,anchor,phi,tau_s,kappa,nu,rmax,sigma,rho,logJ,ll_flow,ll_prior,flow_win,flow_win_deficit,rate_modern_mm_yr,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,S1900_mm,inv_z,S2020_mm,com1p2,com1p5,com2p0,com3p0,sens_mm,ds126,ds245,ds585,spread,g_s1900,g_inv,g_lad,g_spread,npass,feasible,arm,kappa_f,kappa_s
N1,pub,,,0.00672,0.50000,,0.05557,0.99000,-31.45158,-34.22751,-2.75039,36.54165,16.27937,1.15066,-35.32883,-31.49518,-5.15991,12.32033,22.81800,24.33325,0.29607,95.46553,45.43141,53.24899,63.86970,78.42094,72.37803,10.80647,12.73347,15.95472,5.14825,True,True,True,True,4,False,N1_nu0.5,,
N1,pub,,,0.00515,1.00000,,0.07350,0.99000,-37.39255,-40.20014,-2.76475,31.57540,21.24562,1.35684,-35.65516,-32.01091,-5.98650,11.00373,19.02831,18.67448,0.45361,88.93890,46.64255,54.28662,64.67161,78.89988,72.37803,12.20014,14.99722,20.01564,7.81550,True,True,True,True,4,False,N1_nu1.0,,
P,pub,0.20000,150.00000,0.01024,0.50000,,0.03706,0.99000,-33.68921,-29.52869,-9.48426,42.41150,10.40952,0.94568,-36.61457,-31.74293,-4.36617,13.74150,27.42683,27.37328,0.23123,96.28439,45.27557,53.11547,63.76652,78.35931,72.37803,8.90703,9.99882,11.61339,2.70636,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,150.00000,0.00865,1.00000,,0.04280,0.99000,-34.97518,-30.95060,-9.43762,40.71189,12.10913,0.99669,-36.30696,-31.70241,-4.62266,13.29435,26.10886,26.23461,0.25722,95.51681,45.42168,53.24065,63.86326,78.41709,72.37803,9.12937,10.37422,12.28078,3.15141,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,150.00000,0.00723,1.50000,,0.04806,0.99000,-36.35168,-32.30743,-9.51645,39.03620,13.78483,1.04818,-35.94069,-31.65102,-4.85585,12.88558,24.79248,25.33623,0.27598,95.24105,45.47398,53.28546,63.89789,78.43777,72.37803,9.27439,10.61746,12.66998,3.39559,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,300.00000,0.02276,0.50000,,0.06679,0.99000,-43.75448,-40.05182,-9.21710,38.40259,14.41843,0.77189,-41.77453,-35.52688,-6.50334,11.23842,25.57492,22.14236,0.53532,74.93999,49.06723,56.36393,66.27701,79.85872,72.37803,6.83056,7.74597,9.07877,2.24821,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,300.00000,0.02154,1.00000,,0.06717,0.99000,-43.79512,-40.17718,-9.14356,38.16822,14.65281,0.81942,-41.68578,-35.40979,-6.54176,11.21266,25.36254,20.91407,0.55728,74.48709,49.14200,56.42799,66.32651,79.88828,72.37803,6.92037,7.92438,9.41238,2.49201,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,300.00000,0.01941,1.50000,,0.06790,0.99000,-44.04276,-40.39393,-9.16866,37.72641,15.09462,0.85979,-41.48455,-35.25512,-6.58516,11.15941,24.96922,19.77619,0.57606,74.17682,49.19310,56.47177,66.36034,79.90849,72.37803,6.97788,8.03625,9.59955,2.62167,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,463.00000,0.02013,0.50000,,0.50000,0.98180,-107.34024,-103.69431,-9.03119,-14.62878,67.44980,0.63895,-34.48427,-38.12844,-20.52124,-8.47467,-7.80091,17.73109,0.73352,60.58044,51.33562,58.30735,67.77892,80.75575,72.37803,5.63899,6.42493,7.58838,1.94939,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,463.00000,0.02676,1.00000,,0.08715,0.99000,-49.85908,-46.18889,-9.07472,34.13961,18.68141,0.70793,-43.00567,-36.83122,-7.90464,9.67533,22.78587,18.22982,0.72414,62.52785,51.03990,58.05399,67.58312,80.63880,72.37803,5.67803,6.57854,7.90088,2.22285,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,463.00000,0.02422,1.50000,,0.08688,0.99000,-49.91794,-46.18081,-9.09154,34.08561,18.73541,0.74388,-42.96348,-36.73829,-7.92204,9.68532,22.72063,17.00724,0.74347,62.13277,51.10018,58.10564,67.62304,80.66264,72.37803,5.72751,6.67514,8.06506,2.33755,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,700.00000,0.03206,0.50000,,0.10192,0.99000,-54.71924,-50.51437,-9.52397,31.05103,21.76999,0.58426,-43.71354,-37.80345,-8.82728,8.59304,20.74083,17.81477,0.82157,54.43333,52.24607,59.08737,68.38174,81.11578,72.37803,4.66218,5.43220,6.52947,1.86729,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,700.00000,0.03041,1.00000,,0.10122,0.99000,-54.57456,-50.38077,-9.44300,31.21909,21.60193,0.62314,-43.77199,-37.75082,-8.83200,8.62985,20.87251,16.39932,0.84478,53.80031,52.33790,59.16604,68.44254,81.15210,72.37803,4.72687,5.55980,6.77444,2.04757,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,700.00000,0.02746,1.50000,,0.10070,0.99000,-54.59030,-50.30182,-9.45305,31.27359,21.54743,0.65640,-43.77038,-37.67659,-8.84238,8.65509,20.90134,15.10999,0.86473,53.32908,52.40603,59.22441,68.48765,81.17904,72.37803,4.77433,5.65044,6.92914,2.15481,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,1000.00000,0.50000,0.50000,,0.11835,0.99000,-65.00121,-56.37946,-13.84209,25.04192,27.77910,0.57083,-42.95076,-37.74422,-10.02027,6.78618,16.48955,25.40392,0.75560,59.63116,51.47847,58.42974,67.87351,80.81224,72.37803,3.39227,4.27386,5.35154,1.95928,True,True,True,False,3,False,P_grid,,
P,pub,0.20000,1000.00000,0.00010,1.00000,,0.14607,0.99000,-75.36432,-63.19751,-15.31904,21.65435,31.16667,0.16997,-44.93978,-40.20328,-10.77159,5.66127,14.21335,3.65138,1.32964,16.32105,57.20957,63.33979,71.66812,83.07859,72.37803,1.87416,2.01647,2.24792,0.37376,False,False,False,False,0,False,P_grid,,
