marker,marker_label,component,year,width_ladrillo_cm,width_brick20_cm,width_ratio
vvVL,Very Low,total,2100,56.531090187883265,70.39784955978392,0.8030229693291328
vvVL,Very Low,total,2150,93.96019401439958,114.86102371215819,0.8180337505076039
vvVL,Very Low,total,2300,137.06505660608627,182.0199438095092,0.7530221894229903
vvLN,Low-to-Neg,total,2100,56.85687557708278,72.23833608627316,0.7870734385296398
vvLN,Low-to-Neg,total,2150,82.79770585102185,105.4901287078856,0.7848858169497385
vvLN,Low-to-Neg,total,2300,81.59635606793626,106.8660894393921,0.7635383356496142
vvL,Low,total,2100,57.538961759933606,72.60357131958006,0.7925086977700261
vvL,Low,total,2150,101.83468046732948,123.631827545166,0.8236930771740517
vvL,Low,total,2300,142.87282478828908,195.7972606658935,0.7296977715744749
vvML,Medium-to-Low,total,2100,67.9843726928188,81.73063907623288,0.8318101199405467
vvML,Medium-to-Low,total,2150,129.13380733875695,148.61042060852049,0.8689418064358345
vvML,Medium-to-Low,total,2300,159.15726429252965,188.58995780944818,0.8439328697095452
vvM,Medium,total,2100,69.88259452764285,81.25500450134277,0.8600404978931239
vvM,Medium,total,2150,144.7563358701834,154.7753917694091,0.9352671262228007
vvM,Medium,total,2300,389.3097754148775,326.76007690429685,1.1914239312928687
vvHL,High-to-Low,total,2100,81.19519923080637,89.03446388244629,0.9119524697538446
vvHL,High-to-Low,total,2150,149.619866549211,163.34688205718993,0.9159640188101483
vvHL,High-to-Low,total,2300,239.69017652379057,267.9824897766113,0.8944247690347042
vvH,High,total,2100,74.79174586553683,83.09434661865234,0.9000822427641327
vvH,High,total,2150,143.30890040522155,138.47748489379876,1.0348895382894057
vvH,High,total,2300,376.8480564142656,379.58855133056625,0.9927803541316133
vvVL,Very Low,gis,2100,3.679813607889092,4.906519913673398,0.7499844436856878
vvVL,Very Low,gis,2150,5.868443649068434,7.693544554710387,0.7627750261711902
vvVL,Very Low,gis,2300,9.756594284823858,13.576691198348994,0.7186282830098042
vvLN,Low-to-Neg,gis,2100,3.468146056415783,5.039867091178895,0.6881423644059899
vvLN,Low-to-Neg,gis,2150,5.316614293054068,7.601222038269034,0.699442045803569
vvLN,Low-to-Neg,gis,2300,7.117537033408217,9.389273214340209,0.7580498373971719
vvL,Low,gis,2100,3.495757157619014,5.1021565675735445,0.6851528586629608
vvL,Low,gis,2150,5.663065519930611,8.22025029659271,0.6889164338801155
vvL,Low,gis,2300,9.32776490662411,13.603629827499386,0.6856820587523099
vvML,Medium-to-Low,gis,2100,4.177454552154027,5.782102274894713,0.7224802249334296
vvML,Medium-to-Low,gis,2150,6.993720477852106,9.972125601768486,0.7013269544671418
vvML,Medium-to-Low,gis,2300,9.214499756062448,14.367262077331537,0.6413539132553971
vvM,Medium,gis,2100,4.65802142142427,6.239967298507688,0.746481703924675
vvM,Medium,gis,2150,11.283471381266688,13.106338715553271,0.860917120040291
vvM,Medium,gis,2300,57.985618094403016,38.32307782173154,1.513073098255214
vvHL,High-to-Low,gis,2100,5.876659211094249,7.1607599020004224,0.820675360090282
vvHL,High-to-Low,gis,2150,9.697273416716769,12.378356242179866,0.7834055852806067
vvHL,High-to-Low,gis,2300,12.852731199608563,19.796114587783812,0.649255243629474
vvH,High,gis,2100,5.395674649603411,6.915611815452573,0.7802165294395295
vvH,High,gis,2150,15.293654445748667,15.965050435066217,0.9579458898643457
vvH,High,gis,2300,87.28696621360868,57.16651325225829,1.5268898039738417
vvVL,Very Low,ais,2100,43.857804735780775,57.34563928842541,0.7647975553153
vvVL,Very Low,ais,2150,73.83040889180745,96.04144301414479,0.7687348979224923
vvVL,Very Low,ais,2300,107.08467430508149,153.52014279365534,0.6975284959773179
