source,module,component,year,hi_med,lo_med,delta_cm,stat,cls,dT_K,delta_cm_per_K,provenance
BRICK 2.0,BRICK2.0,ais,2100,35.559701919555664,4.309344291687012,31.250357627868652,difference of medians (vvH - vvVL),model,1.6771440303464975,18.633079248066927,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
FACTS,ar5AIS,ais,2100,4.695932769775391,6.193665504455566,-1.4977327346801754,difference of medians (vvH - vvVL),model,1.6771440303464975,-0.8930257077388543,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
FACTS,bamber19,ais,2100,12.549166488647462,9.86416702270508,2.684999465942381,difference of medians (vvH - vvVL),sej,1.6771440303464975,1.6009355293043381,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
FACTS,deconto21,ais,2100,11.232999420166015,8.777999877929688,2.4549995422363278,difference of medians (vvH - vvVL),model,1.6771440303464975,1.463797680947608,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
FACTS,emuAIS,ais,2100,9.399169540405271,9.38277702331543,0.016392517089840908,difference of medians (vvH - vvVL),model,1.6771440303464975,0.009774066385016569,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
FACTS,larmip,ais,2100,11.963308715820313,11.133449935913088,0.8298587799072248,difference of medians (vvH - vvVL),model,1.6771440303464975,0.49480471855227376,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
Ladrillo,L28,ais,2100,22.577392560977067,4.637756709348231,17.939635851628836,difference of medians (vvH - vvVL),model,1.6771440303464975,10.696538595986006,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
MAGICC-SLR,Nauels2025,ais,2100,16.13019546628319,2.045236940268084,14.084958526015107,difference of medians (vvH - vvVL),model,2.0273851753397,6.947352036178864,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
BRICK 2.0,BRICK2.0,ais,2150,83.8877182006836,6.571368932723999,77.3163492679596,difference of medians (vvH - vvVL),model,3.124589046846432,24.744485789577038,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
FACTS,larmip,ais,2150,29.987457275390625,22.101337432861328,7.886119842529297,difference of medians (vvH - vvVL),model,3.124589046846432,2.5238902538202765,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
Ladrillo,L28,ais,2150,69.77654216308807,6.929064723714571,62.84747743937349,difference of medians (vvH - vvVL),model,3.124589046846432,20.113837851029995,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
MAGICC-SLR,Nauels2025,ais,2150,62.68208119098672,2.2950638296406023,60.38701736134612,difference of medians (vvH - vvVL),model,3.605415909930838,16.748974007413338,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
BRICK 2.0,BRICK2.0,ais,2300,247.9745178222656,12.490177631378174,235.48434019088742,difference of medians (vvH - vvVL),model,5.461466498921785,43.117419146922764,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
Ladrillo,L28,ais,2300,233.52911137713107,12.837730920486988,220.69138045664408,difference of medians (vvH - vvVL),model,5.461466498921785,40.40881336546026,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
MAGICC-SLR,Nauels2025,ais,2300,381.61543336483464,1.660797284223184,379.95463608061146,difference of medians (vvH - vvVL),model,5.8576876002679565,64.86427102449619,"plot_vv_responsiveness.py | tag L28 | seed n/a (no RNG in this driver) | comparison vv_model_comparison_L28.csv | fair_gmst_hi fair_mean_gmst_vvH.csv | fair_gmst_lo fair_mean_gmst_vvVL.csv | magicc_gmst magicc_gmst_vv.csv | commit 5cfd506-dirty | delta_cm = med(vvH) - med(vvVL), cm, rel. 1995-2014; dT_K = same pair's GMST gap on each source's OWN driver (FaIR mean for Ladrillo/BRICK/FACTS, MAGICC median)"
